event_id,symbol,anchor_hour,start_idx,end_idx,activity_metric,activity_rank,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
law_BTCUSDT_090496,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_090624,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_090752,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_090880,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_091008,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_091136,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_091264,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_091392,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_091520,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_091648,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_092448,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_093280,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_093952,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_094080,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_094240,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_094368,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_094592,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_094720,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_095328,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_096000,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_096256,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_096480,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_096608,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_096736,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_096864,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_097120,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_099328,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_099840,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_099968,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_100096,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_100480,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_100640,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_100768,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_100928,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_101376,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_102016,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_103392,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_103520,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_103712,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_103968,BTCUSDT,0,165408,165504,0.0015934252153536374,0.20042417815482502,0.1977730646871686,0.0017367118574013317,0.03563540609256209,0.010309278350515464,1,84.0
law_BTCUSDT_104096,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_104320,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
law_BTCUSDT_104576,BTCUSDT,8,10496,10592,0.0016114679917342712,0.20042417815482502,0.2032520325203252,0.0014754746575906038,0.020582327020138434,0.0,0,
law_BTCUSDT_104704,BTCUSDT,16,92512,92608,0.0016007556806412696,0.20042417815482502,0.20024743725698127,0.002901727033226783,0.10365306296005827,0.10309278350515463,1,16.0
