event_type,event_id,symbol,anchor_ts,anchor_hour,start_idx,end_idx,year,activity_metric,activity_rank,rv_rank,tail_threshold,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
liquidity_absence_window,law_BTCUSDT_000576,BTCUSDT,2020-06-07 00:00:00+00:00,0,576,672,2020,0.0015469357324073435,0.18504772004241782,0.1815129020855426,0.006407258169046914,0.0016864463464333398,0.046662568457542505,0.030927835051546393,1,49.0
liquidity_absence_window,law_BTCUSDT_000896,BTCUSDT,2020-06-10 08:00:00+00:00,8,896,992,2020,0.0013877336684273885,0.12937433722163308,0.13326263697419582,0.006407258169046914,0.0017777008393960868,0.0343746630866144,0.030927835051546393,1,42.0
liquidity_absence_window,law_BTCUSDT_001216,BTCUSDT,2020-06-13 16:00:00+00:00,16,1216,1312,2020,0.0015433650725645764,0.179745493107105,0.18045245669848003,0.006407258169046914,0.0013927373919549947,0.02044393763723091,0.010309278350515464,1,15.0
liquidity_absence_window,law_BTCUSDT_001344,BTCUSDT,2020-06-15 00:00:00+00:00,0,1344,1440,2020,0.0015696865367655737,0.1919406150583245,0.18946624248851185,0.006407258169046914,0.002614181770548555,0.06460587094054948,0.061855670103092786,1,23.0
liquidity_absence_window,law_BTCUSDT_001600,BTCUSDT,2020-06-17 16:00:00+00:00,16,1600,1696,2020,0.0013767630688082493,0.1288441145281018,0.1306115235065394,0.006407258169046914,0.0016257122300175793,0.026881045896180143,0.010309278350515464,1,15.0
liquidity_absence_window,law_BTCUSDT_001728,BTCUSDT,2020-06-19 00:00:00+00:00,0,1728,1824,2020,0.0013012221443613609,0.12142099681866383,0.11505832449628844,0.006407258169046914,0.0016645690557665163,0.02284360138983033,0.0,0,
liquidity_absence_window,law_BTCUSDT_001856,BTCUSDT,2020-06-20 08:00:00+00:00,8,1856,1952,2020,0.0015580510532019441,0.18292682926829268,0.18575468363379286,0.006407258169046914,0.0012402740096424095,0.027484166507982032,0.0,0,
liquidity_absence_window,law_BTCUSDT_001984,BTCUSDT,2020-06-21 16:00:00+00:00,16,1984,2080,2020,0.0010224059073496924,0.05567338282078473,0.05744079179922234,0.006407258169046914,0.0010185130061312522,0.027690815103226164,0.0,0,
liquidity_absence_window,law_BTCUSDT_002112,BTCUSDT,2020-06-23 00:00:00+00:00,0,2112,2208,2020,0.0014552075596541902,0.15588547189819724,0.15093672675857192,0.006407258169046914,0.0014759996723749784,0.01423583934088564,0.0,0,
liquidity_absence_window,law_BTCUSDT_002240,BTCUSDT,2020-06-24 08:00:00+00:00,8,2240,2336,2020,0.001471500004256935,0.15058324496288442,0.15553199010250973,0.006407258169046914,0.0023361819698766023,0.05767400465931994,0.041237113402061855,1,10.0
liquidity_absence_window,law_BTCUSDT_002560,BTCUSDT,2020-06-27 16:00:00+00:00,16,2560,2656,2020,0.001380090057357452,0.12990455991516436,0.13131848709791447,0.006407258169046914,0.002238394331274598,0.040860758936916576,0.05154639175257732,1,14.0
liquidity_absence_window,law_BTCUSDT_002784,BTCUSDT,2020-06-30 00:00:00+00:00,0,2784,2880,2020,0.0015268122411577082,0.17497348886532343,0.17444326617179215,0.006407258169046914,0.0015129653363202382,0.01534990334883242,0.0,0,
liquidity_absence_window,law_BTCUSDT_002912,BTCUSDT,2020-07-01 08:00:00+00:00,8,2912,3008,2020,0.0013371953888891416,0.11823966065747614,0.12212796041003889,0.006407258169046914,0.0013286858552872473,0.01726775956284153,0.010309278350515464,1,22.0
liquidity_absence_window,law_BTCUSDT_003136,BTCUSDT,2020-07-03 16:00:00+00:00,16,3136,3232,2020,0.0013888045708190472,0.13414634146341464,0.13396960056557086,0.006407258169046914,0.0008889925042964763,0.007906640150138311,0.0,0,
liquidity_absence_window,law_BTCUSDT_003264,BTCUSDT,2020-07-05 00:00:00+00:00,0,3264,3360,2020,0.0011141856746497798,0.08006362672322376,0.07476139978791092,0.006407258169046914,0.001190400846483047,0.026958204114149186,0.010309278350515464,1,86.0
liquidity_absence_window,law_BTCUSDT_003392,BTCUSDT,2020-07-06 08:00:00+00:00,8,3392,3488,2020,0.0014796731634377429,0.1569459172852598,0.15977377165075998,0.006407258169046914,0.0015155902238655216,0.022724282690076668,0.0,0,
liquidity_absence_window,law_BTCUSDT_003520,BTCUSDT,2020-07-07 16:00:00+00:00,16,3520,3616,2020,0.0013118169396213837,0.11558854718981973,0.11770943796394485,0.006407258169046914,0.0012067231157467696,0.028978178763998837,0.010309278350515464,1,87.0
liquidity_absence_window,law_BTCUSDT_003648,BTCUSDT,2020-07-09 00:00:00+00:00,0,3648,3744,2020,0.0015289290011630391,0.17550371155885472,0.1751502297631672,0.006407258169046914,0.0015057212014127235,0.029353154073270302,0.0,0,
liquidity_absence_window,law_BTCUSDT_003776,BTCUSDT,2020-07-10 08:00:00+00:00,8,3776,3872,2020,0.0015587140273815834,0.18345705196182396,0.1859314245316366,0.006407258169046914,0.0012512180107418659,0.01801990433877941,0.0,0,
liquidity_absence_window,law_BTCUSDT_003904,BTCUSDT,2020-07-11 16:00:00+00:00,16,3904,4000,2020,0.0010373691698967388,0.05832449628844114,0.05973842347119123,0.006407258169046914,0.0009810423840014104,0.018267690975979217,0.0,0,
liquidity_absence_window,law_BTCUSDT_004032,BTCUSDT,2020-07-13 00:00:00+00:00,0,4032,4128,2020,0.0012585840511460437,0.11240721102863202,0.10427712972781902,0.006407258169046914,0.001236930291313012,0.01560697125734066,0.0,0,
