event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
rcbw_BTCUSDT_002990,BTCUSDT,2020,3,0.0003603273481121627,-0.01524617709760738,-0.010309278350515464,0
rcbw_BTCUSDT_003139,BTCUSDT,2020,16,-0.00012010844329439366,-0.03040380347285144,-0.010309278350515464,-1
rcbw_BTCUSDT_003236,BTCUSDT,2020,17,0.0003656645715850532,0.008045824088958988,0.010309278350515464,1
rcbw_BTCUSDT_003506,BTCUSDT,2020,12,-0.0017071273171643797,-0.051721299894630215,-0.05154639175257732,-1
rcbw_BTCUSDT_003603,BTCUSDT,2020,12,0.0008202462994632009,0.009133442834379578,0.010309278350515464,1
rcbw_BTCUSDT_003702,BTCUSDT,2020,13,7.883962615193047e-05,0.01786994623480819,0.0,0
rcbw_BTCUSDT_003804,BTCUSDT,2020,15,0.0004182821314390997,0.008169621840673527,0.0,0
rcbw_BTCUSDT_003901,BTCUSDT,2020,15,0.0001796567359965462,0.008353760942141925,0.0,0
rcbw_BTCUSDT_004269,BTCUSDT,2020,11,-0.0005914121062716498,-0.0038082566982949526,0.0,0
rcbw_BTCUSDT_004443,BTCUSDT,2020,6,-0.000788655311319777,-0.0265745272787732,-0.030927835051546393,-1
rcbw_BTCUSDT_004540,BTCUSDT,2020,7,-0.0013255396868196443,-0.04555402387892749,-0.020618556701030927,-1
rcbw_BTCUSDT_004637,BTCUSDT,2020,7,-0.0009680779641108785,-0.015126659484612524,-0.010309278350515464,-1
rcbw_BTCUSDT_004746,BTCUSDT,2020,10,-0.0004096512959309962,0.01563415254327117,0.010309278350515464,1
rcbw_BTCUSDT_004953,BTCUSDT,2020,14,0.00035140291429331554,0.014477234921760614,0.010309278350515464,1
rcbw_BTCUSDT_007188,BTCUSDT,2020,21,0.0001338194939157233,0.018108584828005522,0.010309278350515464,1
rcbw_BTCUSDT_007386,BTCUSDT,2020,22,-0.00012014848544847682,0.009226342380532257,0.0,0
rcbw_BTCUSDT_007738,BTCUSDT,2020,14,-0.000829165175662022,-0.005882960457001433,-0.010309278350515464,0
rcbw_BTCUSDT_007835,BTCUSDT,2020,14,0.0004757220741286308,0.00601011452932617,0.02061855670103093,0
rcbw_BTCUSDT_007954,BTCUSDT,2020,20,-0.000306240810610777,-0.01463885518949079,0.010309278350515464,1
rcbw_BTCUSDT_008051,BTCUSDT,2020,20,-0.0005836340188910545,-0.038829266982787464,-0.010309278350515464,-1
rcbw_BTCUSDT_008148,BTCUSDT,2020,21,0.0004007489674820229,0.04197857569162657,0.041237113402061855,1
rcbw_BTCUSDT_008337,BTCUSDT,2020,20,0.00018753390577775806,0.019568030807045424,0.061855670103092786,1
rcbw_BTCUSDT_008539,BTCUSDT,2020,22,-4.6095663530159973e-05,-0.0023089907669333037,0.0,0
rcbw_BTCUSDT_008636,BTCUSDT,2020,23,0.0004363606949602793,0.00905961879808808,0.010309278350515464,1
rcbw_BTCUSDT_008733,BTCUSDT,2020,23,-0.0002563275048435402,-0.011292894994879076,0.0,0
rcbw_BTCUSDT_008830,BTCUSDT,2020,23,0.0005198583958537085,0.012562700439617568,-0.010309278350515464,0
rcbw_BTCUSDT_009738,BTCUSDT,2020,10,-4.210412069436927e-05,-0.0026251001486096853,-0.02061855670103093,0
rcbw_BTCUSDT_009849,BTCUSDT,2020,14,-0.0006562397732772342,-0.03004333833417506,-0.010309278350515464,-1
rcbw_BTCUSDT_009946,BTCUSDT,2020,14,0.0007395713888663467,0.02405311451887039,0.020618556701030927,1
rcbw_BTCUSDT_010471,BTCUSDT,2020,1,-0.0004802260989913837,-0.011156526006143697,-0.030927835051546393,-1
rcbw_BTCUSDT_010599,BTCUSDT,2020,9,7.913389984117933e-06,-1.937728576873951e-05,0.0,0
rcbw_BTCUSDT_010906,BTCUSDT,2020,14,-0.0008009771860905896,-0.02295312546551154,-0.07216494845360824,-1
rcbw_BTCUSDT_011003,BTCUSDT,2020,14,0.0005557378619071879,0.006653452885922222,0.010309278350515464,0
rcbw_BTCUSDT_011227,BTCUSDT,2020,22,-0.00031322336349281317,-0.00984108675216772,0.0,0
rcbw_BTCUSDT_011324,BTCUSDT,2020,23,0.00024395237219140072,-0.005149463416260314,0.0,0
rcbw_BTCUSDT_011421,BTCUSDT,2020,23,0.00017144494024421406,-0.03225761489689889,-0.020618556701030927,0
rcbw_BTCUSDT_011685,BTCUSDT,2020,17,0.00019681636434659916,0.03471658860913186,0.030927835051546393,1
rcbw_BTCUSDT_011945,BTCUSDT,2020,10,-0.00048449510042841964,-0.005196739340422028,0.0,0
rcbw_BTCUSDT_012042,BTCUSDT,2020,10,-0.0009222723028077497,-0.046424876180263724,-0.041237113402061855,-1
rcbw_BTCUSDT_012139,BTCUSDT,2020,10,0.00015700201146414945,-0.0017136075726520116,0.0,0
rcbw_BTCUSDT_012236,BTCUSDT,2020,11,0.0008550807420526481,0.01678949219811348,0.010309278350515464,1
rcbw_BTCUSDT_012363,BTCUSDT,2020,18,7.772974481834297e-05,0.02908050958141558,0.010309278350515464,1
rcbw_BTCUSDT_012687,BTCUSDT,2020,3,-0.00012189788030688028,-0.01762143917923488,-0.010309278350515464,-1
rcbw_BTCUSDT_012784,BTCUSDT,2020,4,0.0008729192921346163,0.0464766848701788,0.05154639175257732,1
rcbw_BTCUSDT_013009,BTCUSDT,2020,12,-0.0007654242856614747,-0.03084618939945464,-0.05154639175257732,0
