symbol,n,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability
BTCUSDT,210,0.0010213591695077012,0.03201283792398278,0.10534499514091351
ETHUSDT,177,0.0013751625854378838,0.03759282178821939,0.1039904405521839
