event_id,symbol,anchor_hour,control_idx,start_idx,end_idx,funding_rate_scaled,funding_abs,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
ferw_BTCUSDT_025057,BTCUSDT,0,81504,81504,81600,1.141e-05,1.141e-05,0.878783359844468,0.004183545916780315,0.06923345692725681,0.10309278350515463,1,5.0
ferw_BTCUSDT_025154,BTCUSDT,0,39264,39264,39360,-4.883e-05,4.883e-05,0.7887559650053022,0.003066084691598873,0.06196166983953149,0.061855670103092786,1,5.0
ferw_BTCUSDT_025251,BTCUSDT,0,69312,69312,69408,-0.00012372,0.00012372,0.6632036496995405,0.0028471889629136343,0.04280791417179346,0.010309278350515464,1,55.0
ferw_BTCUSDT_025348,BTCUSDT,1,62214,62214,62310,-9.808e-05,9.808e-05,0.8418224195828915,0.003758447850281716,0.052542734877784596,0.07216494845360824,1,2.0
ferw_BTCUSDT_025445,BTCUSDT,1,166662,166662,166758,-5.518e-05,5.518e-05,0.9226206256627784,0.005426014672337062,0.11079939823991636,0.17525773195876287,1,4.0
ferw_BTCUSDT_025542,BTCUSDT,1,55591,55591,55687,0.0001,0.0001,0.763835498409332,0.0031959119413767305,0.028626516514500183,0.030927835051546393,1,14.0
ferw_BTCUSDT_027168,BTCUSDT,0,40515,40515,40611,-2.037e-05,2.037e-05,0.9024611170024743,0.005106943392147784,0.054817921799072473,0.17525773195876287,1,4.0
ferw_BTCUSDT_027265,BTCUSDT,0,132195,132195,132291,0.00019134,0.00019134,0.8490411806291976,0.0031018163417392674,0.010271324369890934,0.0,0,
ferw_BTCUSDT_027520,BTCUSDT,16,144640,144640,144736,2.717e-05,2.717e-05,0.673029338989042,0.0028377875210798694,0.03155729534506713,0.010309278350515464,1,87.0
ferw_BTCUSDT_029184,BTCUSDT,0,27937,27937,28033,0.00032006,0.00032006,0.8007467302933899,0.0038677137759927436,0.05731470718112941,0.07216494845360824,1,0.0
ferw_BTCUSDT_029312,BTCUSDT,8,84417,84417,84513,3.541e-05,3.541e-05,0.4685953517143867,0.002291798008999174,0.04959171182468233,0.020618556701030927,1,21.0
ferw_BTCUSDT_029409,BTCUSDT,8,143361,143361,143457,0.0001,0.0001,0.29114749027925063,0.0023831355410855585,0.05539594903894276,0.020618556701030927,1,69.0
ferw_BTCUSDT_029664,BTCUSDT,0,145346,145346,145442,0.0001,0.0001,0.46488379285966774,0.002175031581757455,0.031116739461918216,0.010309278350515464,1,82.0
ferw_BTCUSDT_030080,BTCUSDT,8,47456,47456,47552,0.00023355,0.00023355,0.7038706256627784,0.003004853778733561,0.046288236852877994,0.041237113402061855,1,2.0
ferw_BTCUSDT_030177,BTCUSDT,8,77026,77026,77122,1.412e-05,1.412e-05,0.6035370272180983,0.0022845429837915054,0.05509032055967422,0.0,0,
ferw_BTCUSDT_030274,BTCUSDT,8,176865,176865,176961,5.776e-05,5.776e-05,0.37261952103216683,0.0020939964982962067,0.03264692850779778,0.0,0,
ferw_BTCUSDT_030371,BTCUSDT,8,17410,17410,17506,0.0001,0.0001,0.7331267674089784,0.0031625270230996668,0.042861172566371696,0.041237113402061855,1,11.0
ferw_BTCUSDT_030468,BTCUSDT,9,65989,65989,66085,6.251e-05,6.251e-05,0.6334172852598091,0.0021733442876488425,0.030486828852656026,0.010309278350515464,1,18.0
ferw_BTCUSDT_030592,BTCUSDT,16,49410,49410,49506,0.00013782,0.00013782,0.7078307264050901,0.00523225950571308,0.0901205981448549,0.15463917525773196,1,8.0
ferw_BTCUSDT_030689,BTCUSDT,16,115073,115073,115169,-3.502e-05,3.502e-05,0.6852410303994344,0.0026151956172991804,0.03156577661318233,0.0,0,
ferw_BTCUSDT_030786,BTCUSDT,16,80416,80416,80512,2.919e-05,2.919e-05,0.5751259278897137,0.0026146482599309234,0.04225683160627057,0.010309278350515464,1,96.0
ferw_BTCUSDT_032608,BTCUSDT,16,51712,51712,51808,0.0001,0.0001,0.7517729321314952,0.003049019108547773,0.05855492900184114,0.07216494845360824,1,3.0
ferw_BTCUSDT_032960,BTCUSDT,8,28258,28258,28354,0.00045562,0.00045562,0.7296858430540827,0.0036807828193050457,0.09625544582984345,0.18556701030927836,1,6.0
ferw_BTCUSDT_033856,BTCUSDT,16,34337,34337,34433,2.089e-05,2.089e-05,0.9921681689642984,0.008139163781358755,0.09348414360522667,0.3711340206185567,1,1.0
ferw_BTCUSDT_085632,BTCUSDT,0,72961,72961,73057,-8.786e-05,8.786e-05,0.9736269441498763,0.0074362835772342544,0.09656532906237497,0.09278350515463918,1,0.0
ferw_BTCUSDT_131872,BTCUSDT,16,20515,20515,20611,0.00036744,0.00036744,0.9075479409685401,0.00439476281845525,0.047206632329791755,0.061855670103092786,1,1.0
