event_id,symbol,year,funding_sign,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
ferw_BTCUSDT_005408,BTCUSDT,2020,pos_funding,0.000710583877420911,0.0730696528417089,0.020618556701030924,0
ferw_BTCUSDT_005505,BTCUSDT,2020,pos_funding,-0.00039864104583027266,-0.017315502043128907,-0.05154639175257732,0
ferw_BTCUSDT_005952,BTCUSDT,2020,pos_funding,0.005424824466676618,0.08385535766307906,0.06185567010309278,0
ferw_BTCUSDT_006752,BTCUSDT,2020,pos_funding,0.002569062324269765,0.013082148455504407,0.02061855670103093,0
ferw_BTCUSDT_007488,BTCUSDT,2020,pos_funding,-0.002006568319561215,-0.03704006404181759,-0.13402061855670103,0
ferw_BTCUSDT_016736,BTCUSDT,2020,pos_funding,0.0015609400685155012,0.029368804535825143,0.07216494845360824,0
ferw_BTCUSDT_016864,BTCUSDT,2020,pos_funding,0.000455177731968692,0.02973333770603396,0.030927835051546393,0
ferw_BTCUSDT_020704,BTCUSDT,2021,pos_funding,0.003204187851772079,0.0818180544518603,0.21649484536082475,0
ferw_BTCUSDT_020801,BTCUSDT,2021,pos_funding,0.0020571316197567427,0.1284172954404926,0.36082474226804123,0
ferw_BTCUSDT_020928,BTCUSDT,2021,pos_funding,0.003069088925055102,0.09857566832667888,0.25773195876288657,0
ferw_BTCUSDT_021025,BTCUSDT,2021,pos_funding,0.0004944325533033627,0.05136869878932446,0.29896907216494845,0
ferw_BTCUSDT_021122,BTCUSDT,2021,pos_funding,0.0013004793562113324,0.05594062931165425,0.19587628865979378,0
ferw_BTCUSDT_021219,BTCUSDT,2021,pos_funding,0.0028595399521129834,0.07384156733697077,0.28865979381443296,0
ferw_BTCUSDT_021376,BTCUSDT,2021,pos_funding,0.0009203338780036678,0.00086849370572048,-0.010309278350515455,0
ferw_BTCUSDT_021504,BTCUSDT,2021,pos_funding,0.0075438475189188985,0.14046667860193365,0.5670103092783505,0
ferw_BTCUSDT_021952,BTCUSDT,2021,pos_funding,0.0025610560587975085,0.021768737883368514,0.24742268041237114,0
ferw_BTCUSDT_022240,BTCUSDT,2021,pos_funding,0.0007949209080544747,0.030425616665491956,0.030927835051546393,0
ferw_BTCUSDT_022337,BTCUSDT,2021,pos_funding,0.00038590814683585675,0.0741192581580839,0.12371134020618557,0
ferw_BTCUSDT_023296,BTCUSDT,2021,pos_funding,0.004675027344755256,0.06069584304039216,0.23711340206185566,0
ferw_BTCUSDT_023680,BTCUSDT,2021,pos_funding,0.0002905903343333768,0.02237627843090626,0.0,0
ferw_BTCUSDT_023968,BTCUSDT,2021,pos_funding,0.001064835957434096,0.05288370006506068,0.09278350515463918,0
ferw_BTCUSDT_024065,BTCUSDT,2021,pos_funding,0.00040528432961583084,0.034413274119459734,0.14432989690721648,0
ferw_BTCUSDT_024162,BTCUSDT,2021,pos_funding,0.0005830702982400401,0.1491452297136765,0.14432989690721648,0
ferw_BTCUSDT_024259,BTCUSDT,2021,pos_funding,0.0017582920485455164,0.04393601990738445,0.020618556701030966,0
ferw_BTCUSDT_024356,BTCUSDT,2021,pos_funding,-0.0003878441041738267,-0.0008166930129107214,-0.041237113402061876,0
ferw_BTCUSDT_024453,BTCUSDT,2021,pos_funding,-0.0009733383907083058,0.04535242402876061,0.0,0
ferw_BTCUSDT_024550,BTCUSDT,2021,pos_funding,0.0008297236518995839,0.01220632658488386,0.09278350515463918,0
ferw_BTCUSDT_024647,BTCUSDT,2021,pos_funding,-0.0029259595921711156,-0.05535194731248329,-0.24742268041237112,0
ferw_BTCUSDT_024800,BTCUSDT,2021,pos_funding,-0.0001315088878707741,0.015128461774378835,-0.04123711340206186,0
ferw_BTCUSDT_024960,BTCUSDT,2021,pos_funding,-0.0008828627339695604,0.01728177640468513,-0.030927835051546393,0
ferw_BTCUSDT_025057,BTCUSDT,2021,pos_funding,8.068273961068205e-06,0.006937990345999345,-0.030927835051546393,0
ferw_BTCUSDT_025154,BTCUSDT,2021,pos_funding,0.00011557103275572096,-0.030322468068942975,-0.030927835051546393,0
ferw_BTCUSDT_025251,BTCUSDT,2021,pos_funding,0.0003436906753877828,0.0725373257627835,0.09278350515463916,0
ferw_BTCUSDT_025348,BTCUSDT,2021,pos_funding,0.0005877915367388117,0.014695629198994024,0.07216494845360824,0
ferw_BTCUSDT_025445,BTCUSDT,2021,pos_funding,-0.0008274898362234133,-0.06443442261677748,-0.0824742268041237,0
ferw_BTCUSDT_025542,BTCUSDT,2021,pos_funding,0.0021457623068857974,0.14032074237029854,0.27835051546391754,0
ferw_BTCUSDT_027168,BTCUSDT,2021,pos_funding,-0.0005639882823615036,0.01510716431707882,-0.02061855670103091,0
ferw_BTCUSDT_027265,BTCUSDT,2021,pos_funding,0.000998057429359273,0.04026378538221124,0.1134020618556701,1
ferw_BTCUSDT_027520,BTCUSDT,2021,pos_funding,0.0012018615150142472,0.07367551540357109,0.21649484536082475,0
ferw_BTCUSDT_029184,BTCUSDT,2021,pos_funding,-0.0009746904750665927,-0.030382153056301906,-0.07216494845360824,-1
ferw_BTCUSDT_029312,BTCUSDT,2021,pos_funding,-0.0002287182661037182,-0.025499102936825425,-0.010309278350515464,0
ferw_BTCUSDT_029409,BTCUSDT,2021,pos_funding,-9.221737319628324e-07,0.0006852442657468219,0.010309278350515465,0
ferw_BTCUSDT_029664,BTCUSDT,2021,pos_funding,0.00011506226955450153,0.004691811825867899,0.0,0
