funding_sign,n,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
neg_funding,2,0.006308736490801799,0.08649907599381498,0.22680412371134018,0.0
pos_funding,54,0.0008928873020598098,0.03271312644141323,0.07350133638793432,0.05555555555555555
