ts,symbol,price,size
2024-01-01 00:00:00+00:00,BTCUSDT,42532.5,3617.988
2024-01-01 00:15:00+00:00,BTCUSDT,42458.5,2322.028
2024-01-01 00:30:00+00:00,BTCUSDT,42474.5,1684.217
2024-01-01 00:45:00+00:00,BTCUSDT,42503.5,835.244
2024-01-01 01:00:00+00:00,BTCUSDT,42497.6,850.274
2024-01-01 01:15:00+00:00,BTCUSDT,42524.8,826.42
2024-01-01 01:30:00+00:00,BTCUSDT,42734.3,5389.021
2024-01-01 01:45:00+00:00,BTCUSDT,42647.9,1977.696
2024-01-01 02:00:00+00:00,BTCUSDT,42593.7,1580.528
2024-01-01 02:15:00+00:00,BTCUSDT,42575.6,804.454
2024-01-01 02:30:00+00:00,BTCUSDT,42576.2,1131.877
2024-01-01 02:45:00+00:00,BTCUSDT,42620.4,1136.208
2024-01-01 03:00:00+00:00,BTCUSDT,42544.2,1056.847
2024-01-01 03:15:00+00:00,BTCUSDT,42466.9,1683.632
2024-01-01 03:30:00+00:00,BTCUSDT,42331.9,3199.838
2024-01-01 03:45:00+00:00,BTCUSDT,42369.8,2179.563
2024-01-01 04:00:00+00:00,BTCUSDT,42324.6,1803.761
2024-01-01 04:15:00+00:00,BTCUSDT,42342.9,2449.938
2024-01-01 04:30:00+00:00,BTCUSDT,42347.3,1053.926
2024-01-01 04:45:00+00:00,BTCUSDT,42436.6,1048.911
2024-01-01 05:00:00+00:00,BTCUSDT,42389.3,1075.088
2024-01-01 05:15:00+00:00,BTCUSDT,42326.3,771.946
2024-01-01 05:30:00+00:00,BTCUSDT,42335.7,780.152
2024-01-01 05:45:00+00:00,BTCUSDT,42272.6,1512.371
2024-01-01 06:00:00+00:00,BTCUSDT,42308.2,1126.979
2024-01-01 06:15:00+00:00,BTCUSDT,42349.6,964.646
2024-01-01 06:30:00+00:00,BTCUSDT,42405.9,840.082
2024-01-01 06:45:00+00:00,BTCUSDT,42423.3,1001.312
2024-01-01 07:00:00+00:00,BTCUSDT,42482.2,1937.956
2024-01-01 07:15:00+00:00,BTCUSDT,42524.9,992.859
2024-01-01 07:30:00+00:00,BTCUSDT,42475.4,837.558
2024-01-01 07:45:00+00:00,BTCUSDT,42527.0,686.677
2024-01-01 08:00:00+00:00,BTCUSDT,42551.9,1305.613
2024-01-01 08:15:00+00:00,BTCUSDT,42519.9,648.355
2024-01-01 08:30:00+00:00,BTCUSDT,42530.4,663.664
2024-01-01 08:45:00+00:00,BTCUSDT,42588.2,1056.114
2024-01-01 09:00:00+00:00,BTCUSDT,42609.0,983.112
2024-01-01 09:15:00+00:00,BTCUSDT,42622.9,1780.808
2024-01-01 09:30:00+00:00,BTCUSDT,42675.2,1921.284
2024-01-01 09:45:00+00:00,BTCUSDT,42688.8,1094.671
2024-01-01 10:00:00+00:00,BTCUSDT,42700.0,1166.178
2024-01-01 10:15:00+00:00,BTCUSDT,42703.7,1655.923
2024-01-01 10:30:00+00:00,BTCUSDT,42755.8,1247.649
2024-01-01 10:45:00+00:00,BTCUSDT,42727.7,1736.993
2024-01-01 11:00:00+00:00,BTCUSDT,42730.0,1829.57
2024-01-01 11:15:00+00:00,BTCUSDT,42715.0,1556.96
2024-01-01 11:30:00+00:00,BTCUSDT,42647.2,1621.339
2024-01-01 11:45:00+00:00,BTCUSDT,42727.6,957.169
2024-01-01 12:00:00+00:00,BTCUSDT,42669.0,1701.062
2024-01-01 12:15:00+00:00,BTCUSDT,42724.1,1100.617
2024-01-01 12:30:00+00:00,BTCUSDT,42789.9,2179.906
2024-01-01 12:45:00+00:00,BTCUSDT,42682.0,1398.878
2024-01-01 13:00:00+00:00,BTCUSDT,42742.6,1218.681
2024-01-01 13:15:00+00:00,BTCUSDT,42752.7,611.131
2024-01-01 13:30:00+00:00,BTCUSDT,42777.1,728.511
2024-01-01 13:45:00+00:00,BTCUSDT,42753.9,711.452
2024-01-01 14:00:00+00:00,BTCUSDT,42686.3,1666.144
2024-01-01 14:15:00+00:00,BTCUSDT,42658.3,1454.131
2024-01-01 14:30:00+00:00,BTCUSDT,42677.2,913.087
2024-01-01 14:45:00+00:00,BTCUSDT,42645.6,1300.597
2024-01-01 15:00:00+00:00,BTCUSDT,42681.4,1021.034
2024-01-01 15:15:00+00:00,BTCUSDT,42715.0,1150.623
2024-01-01 15:30:00+00:00,BTCUSDT,42885.6,2831.886
2024-01-01 15:45:00+00:00,BTCUSDT,42818.0,3173.087
2024-01-01 16:00:00+00:00,BTCUSDT,42880.0,2413.476
2024-01-01 16:15:00+00:00,BTCUSDT,42753.0,2944.729
2024-01-01 16:30:00+00:00,BTCUSDT,42808.0,1057.269
2024-01-01 16:45:00+00:00,BTCUSDT,42759.7,711.141
2024-01-01 17:00:00+00:00,BTCUSDT,42810.1,756.686
2024-01-01 17:15:00+00:00,BTCUSDT,42765.9,600.103
2024-01-01 17:30:00+00:00,BTCUSDT,42767.0,825.967
2024-01-01 17:45:00+00:00,BTCUSDT,42847.0,1228.263
2024-01-01 18:00:00+00:00,BTCUSDT,43148.5,8635.168
2024-01-01 18:15:00+00:00,BTCUSDT,43096.2,6079.058
2024-01-01 18:30:00+00:00,BTCUSDT,43183.1,2090.358
2024-01-01 18:45:00+00:00,BTCUSDT,43148.0,2090.942
2024-01-01 19:00:00+00:00,BTCUSDT,43219.8,1595.201
2024-01-01 19:15:00+00:00,BTCUSDT,43300.4,3642.644
2024-01-01 19:30:00+00:00,BTCUSDT,43425.9,5487.521
2024-01-01 19:45:00+00:00,BTCUSDT,43556.2,6311.917
