split,status,spread_t_rv_peak,spread_t_half_life,spread_t_relax,fractional_stable
symbol,pass,1.0,0.0,4.5,True
bull_bear,pass,1.0,0.0,6.0,True
vol_regime,pass,0.0,0.0,2.0,True
