window_x,window_y,n,delta_secondary_shock,delta_realized_vol_mean_96,delta_range_expansion_96
0,48,147,0.0,0.0004996640028146433,0.006776128372517931
0,96,147,0.09523809523809523,0.0007919958199250189,0.0154605790281349
24,96,147,0.08163265306122448,0.0008068729849555497,0.009763021173507507
48,144,147,0.013605442176870748,0.00040345979497966966,0.002005048912515544
