symbol,event_count,median_time_to_relax,median_duration,min_duration,max_duration,cooldown_overlap_violations,non_degenerate_count,time_to_relax_in_bounds
BTCUSDT,55,30.0,31.0,15,147,0,True,True
ETHUSDT,56,29.0,30.0,15,144,0,True,True
