event_type,event_id,symbol,anchor_ts,anchor_hour,start_idx,end_idx,year,funding_rate_scaled,funding_abs,funding_abs_threshold,funding_sign,rv_rank,vol_regime,bull_bear,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
funding_extreme_reversal_window,ferw_BTCUSDT_021025,BTCUSDT,2021-01-06 00:15:00+00:00,0,21025,21121,2021,0.00127193,0.00127193,0.00086985,pos_funding,0.9777703100058809,high,bull,0.00722542255756272,0.11412406865960326,0.3402061855670103,1,14.0
funding_extreme_reversal_window,ferw_BTCUSDT_021122,BTCUSDT,2021-01-07 00:30:00+00:00,0,21122,21218,2021,0.00100316,0.00100316,0.00086985,pos_funding,0.9824189980117057,high,bull,0.007528426740501829,0.11342729765350312,0.25773195876288657,1,11.0
funding_extreme_reversal_window,ferw_BTCUSDT_021219,BTCUSDT,2021-01-08 00:45:00+00:00,0,21219,21315,2021,0.00213517,0.00213517,0.00086985,pos_funding,0.9808115601108964,high,bull,0.009169231792659901,0.14367383851811016,0.3917525773195876,1,0.0
funding_extreme_reversal_window,ferw_BTCUSDT_021376,BTCUSDT,2021-01-09 16:00:00+00:00,16,21376,21472,2021,0.00146942,0.00146942,0.00086985,pos_funding,0.9595452126914783,high,bull,0.005500181034377149,0.07195570360117039,0.13402061855670103,1,3.0
funding_extreme_reversal_window,ferw_BTCUSDT_021952,BTCUSDT,2021-01-15 16:00:00+00:00,16,21952,22048,2021,0.00118185,0.00118185,0.00086985,pos_funding,0.9500182026939987,high,bull,0.007201436252174917,0.09946840042555077,0.32989690721649484,1,0.0
funding_extreme_reversal_window,ferw_BTCUSDT_022240,BTCUSDT,2021-01-18 16:00:00+00:00,16,22240,22336,2021,0.0010355,0.0010355,0.00086985,pos_funding,0.9410400739309418,high,bull,0.005246614837322286,0.06977395243588272,0.12371134020618557,1,0.0
funding_extreme_reversal_window,ferw_BTCUSDT_022337,BTCUSDT,2021-01-19 16:15:00+00:00,16,22337,22433,2021,0.00158467,0.00158467,0.00086985,pos_funding,0.8646671707412698,high,bull,0.00465038318046416,0.11750478964068008,0.20618556701030927,1,7.0
funding_extreme_reversal_window,ferw_BTCUSDT_023296,BTCUSDT,2021-01-29 16:00:00+00:00,16,23296,23392,2021,0.00166789,0.00166789,0.00086985,pos_funding,0.9982693438628917,high,bull,0.012670111537765453,0.1270150085608542,0.4020618556701031,1,1.0
funding_extreme_reversal_window,ferw_BTCUSDT_023680,BTCUSDT,2021-02-02 16:00:00+00:00,16,23680,23776,2021,0.00122181,0.00122181,0.00086985,pos_funding,0.8337113892856143,high,bull,0.004185541563091027,0.07443063991796982,0.08247422680412371,1,11.0
funding_extreme_reversal_window,ferw_BTCUSDT_023968,BTCUSDT,2021-02-05 16:00:00+00:00,16,23968,24064,2021,0.00099154,0.00099154,0.00086985,pos_funding,0.856422750567084,high,bull,0.004034996599183239,0.0983853332663831,0.1134020618556701,1,31.0
funding_extreme_reversal_window,ferw_BTCUSDT_024065,BTCUSDT,2021-02-06 16:15:00+00:00,16,24065,24161,2021,0.00102371,0.00102371,0.00086985,pos_funding,0.8439889103587331,high,bull,0.004470016607025334,0.08445749714792493,0.17525773195876287,1,6.0
funding_extreme_reversal_window,ferw_BTCUSDT_024162,BTCUSDT,2021-02-07 16:30:00+00:00,16,24162,24258,2021,0.00106206,0.00106206,0.00086985,pos_funding,0.9076871376963791,high,bull,0.005486037766430004,0.19367287204878833,0.20618556701030927,1,1.0
funding_extreme_reversal_window,ferw_BTCUSDT_024259,BTCUSDT,2021-02-08 16:45:00+00:00,16,24259,24355,2021,0.00248993,0.00248993,0.00086985,pos_funding,0.9909770646055617,high,bull,0.00973289200328297,0.12978761895762062,0.3711340206185567,1,1.0
funding_extreme_reversal_window,ferw_BTCUSDT_024356,BTCUSDT,2021-02-09 17:00:00+00:00,17,24356,24452,2021,0.00161159,0.00161159,0.00086985,pos_funding,0.9686465596908342,high,bull,0.006238194340338179,0.08174928965630293,0.20618556701030927,1,1.0
funding_extreme_reversal_window,ferw_BTCUSDT_024453,BTCUSDT,2021-02-10 17:15:00+00:00,17,24453,24549,2021,0.00112397,0.00112397,0.00086985,pos_funding,0.9385981125206531,high,bull,0.005613553858388509,0.10438068267338597,0.17525773195876287,1,9.0
funding_extreme_reversal_window,ferw_BTCUSDT_024550,BTCUSDT,2021-02-11 17:30:00+00:00,17,24550,24646,2021,0.0017411,0.0017411,0.00086985,pos_funding,0.9273516480439105,high,bull,0.005973512022845776,0.06660829791097934,0.17525773195876287,1,3.0
funding_extreme_reversal_window,ferw_BTCUSDT_024647,BTCUSDT,2021-02-12 17:45:00+00:00,17,24647,24743,2021,0.00105533,0.00105533,0.00086985,pos_funding,0.9413985269819933,high,bull,0.00418942203300842,0.042626828358146546,0.041237113402061855,1,2.0
funding_extreme_reversal_window,ferw_BTCUSDT_024800,BTCUSDT,2021-02-14 08:00:00+00:00,8,24800,24896,2021,0.00146185,0.00146185,0.00086985,pos_funding,0.7826542328264583,high,bull,0.004126648599398438,0.09241513681103415,0.1134020618556701,1,16.0
funding_extreme_reversal_window,ferw_BTCUSDT_024960,BTCUSDT,2021-02-16 00:00:00+00:00,0,24960,25056,2021,0.000996,0.000996,0.00086985,pos_funding,0.9009661429891624,high,bull,0.004081692161294871,0.08076582476984681,0.12371134020618557,1,5.0
funding_extreme_reversal_window,ferw_BTCUSDT_025057,BTCUSDT,2021-02-17 00:15:00+00:00,0,25057,25153,2021,0.00104066,0.00104066,0.00086985,pos_funding,0.8829706796605897,high,bull,0.004191614190741489,0.07617144727325616,0.07216494845360824,1,2.0
funding_extreme_reversal_window,ferw_BTCUSDT_025154,BTCUSDT,2021-02-18 00:30:00+00:00,0,25154,25250,2021,0.00132249,0.00132249,0.00086985,pos_funding,0.7874205382396595,high,bull,0.0031816557243547015,0.031639201770588515,0.030927835051546393,1,27.0
funding_extreme_reversal_window,ferw_BTCUSDT_025251,BTCUSDT,2021-02-19 00:45:00+00:00,0,25251,25347,2021,0.00091255,0.00091255,0.00086985,pos_funding,0.6610938418885995,high,bull,0.0031908796383016136,0.11534523993457696,0.10309278350515463,1,32.0
funding_extreme_reversal_window,ferw_BTCUSDT_025348,BTCUSDT,2021-02-20 01:00:00+00:00,1,25348,25444,2021,0.00156318,0.00156318,0.00086985,pos_funding,0.8255733848609594,high,bull,0.004346239387020557,0.06723836407677862,0.13402061855670103,1,43.0
funding_extreme_reversal_window,ferw_BTCUSDT_025445,BTCUSDT,2021-02-21 01:15:00+00:00,1,25445,25541,2021,0.00100357,0.00100357,0.00086985,pos_funding,0.9094345963202554,high,bull,0.00459852483611364,0.046364975623138883,0.09278350515463918,1,2.0
funding_extreme_reversal_window,ferw_BTCUSDT_025542,BTCUSDT,2021-02-22 01:30:00+00:00,1,25542,25638,2021,0.00117049,0.00117049,0.00086985,pos_funding,0.7623176230082053,high,bull,0.0053416742482627145,0.16894725888479872,0.29896907216494845,1,9.0
funding_extreme_reversal_window,ferw_BTCUSDT_027168,BTCUSDT,2021-03-11 00:00:00+00:00,0,27168,27264,2021,0.00095931,0.00095931,0.00086985,pos_funding,0.9038729732000336,high,bull,0.004542955109786255,0.0699250861161513,0.15463917525773196,1,3.0
funding_extreme_reversal_window,ferw_BTCUSDT_027265,BTCUSDT,2021-03-12 00:15:00+00:00,0,27265,27361,2021,0.00102002,0.00102002,0.00086985,pos_funding,0.8514268111680529,high,bull,0.0040998737710985925,0.050535109752102174,0.1134020618556701,1,0.0
funding_extreme_reversal_window,ferw_BTCUSDT_027520,BTCUSDT,2021-03-14 16:00:00+00:00,16,27520,27616,2021,0.00115069,0.00115069,0.00086985,pos_funding,0.6777899129071102,high,bull,0.004039649036094134,0.10523281074863822,0.2268041237113402,1,28.0
funding_extreme_reversal_window,ferw_BTCUSDT_029184,BTCUSDT,2021-04-01 00:00:00+00:00,0,29184,29280,2021,0.00109277,0.00109277,0.00086985,pos_funding,0.7988798342154639,high,bull,0.0028930233009261783,0.026932554124827503,0.0,0,
funding_extreme_reversal_window,ferw_BTCUSDT_029312,BTCUSDT,2021-04-02 08:00:00+00:00,8,29312,29408,2021,0.00106221,0.00106221,0.00086985,pos_funding,0.4640342770730068,mid,bull,0.002063079742895497,0.024092608887856908,0.010309278350515464,1,96.0
funding_extreme_reversal_window,ferw_BTCUSDT_029409,BTCUSDT,2021-04-03 08:15:00+00:00,8,29409,29505,2021,0.00107843,0.00107843,0.00086985,pos_funding,0.2750959141953009,low,bull,0.0023822133673535445,0.05608119330468958,0.030927835051546393,1,1.0
funding_extreme_reversal_window,ferw_BTCUSDT_029664,BTCUSDT,2021-04-06 00:00:00+00:00,0,29664,29760,2021,0.00097189,0.00097189,0.00086985,pos_funding,0.4602033100898933,mid,bull,0.002290093851311924,0.035808551287786115,0.010309278350515464,1,56.0
funding_extreme_reversal_window,ferw_BTCUSDT_030080,BTCUSDT,2021-04-10 08:00:00+00:00,8,30080,30176,2021,0.00148624,0.00148624,0.00086985,pos_funding,0.6898596992354868,high,bull,0.0031412872173151554,0.04479066774029183,0.020618556701030927,1,51.0
funding_extreme_reversal_window,ferw_BTCUSDT_030177,BTCUSDT,2021-04-11 08:15:00+00:00,8,30177,30273,2021,0.00099427,0.00099427,0.00086985,pos_funding,0.6123386261166652,mid,bull,0.002524106773813106,0.03567928036556355,0.020618556701030927,1,56.0
funding_extreme_reversal_window,ferw_BTCUSDT_030274,BTCUSDT,2021-04-12 08:30:00+00:00,8,30274,30370,2021,0.00106358,0.00106358,0.00086985,pos_funding,0.36877537875605587,mid,bull,0.0026243209930697925,0.05751765660212054,0.061855670103092786,1,4.0
funding_extreme_reversal_window,ferw_BTCUSDT_030371,BTCUSDT,2021-04-13 08:45:00+00:00,8,30371,30467,2021,0.00089928,0.00089928,0.00086985,pos_funding,0.7373491276708953,high,bull,0.0032904222632977754,0.04189754197776342,0.061855670103092786,1,11.0
funding_extreme_reversal_window,ferw_BTCUSDT_030468,BTCUSDT,2021-04-14 09:00:00+00:00,9,30468,30564,2021,0.00108567,0.00108567,0.00086985,pos_funding,0.6385449046458876,mid,bull,0.0037007664772518373,0.05478672967975754,0.05154639175257732,1,15.0
funding_extreme_reversal_window,ferw_BTCUSDT_030592,BTCUSDT,2021-04-15 16:00:00+00:00,16,30592,30688,2021,0.00110324,0.00110324,0.00086985,pos_funding,0.702657593323812,high,bull,0.002743716531555382,0.060397048188555146,0.030927835051546393,1,50.0
funding_extreme_reversal_window,ferw_BTCUSDT_030689,BTCUSDT,2021-04-16 16:15:00+00:00,16,30689,30785,2021,0.00115519,0.00115519,0.00086985,pos_funding,0.6905486011929766,high,bull,0.002984893174029939,0.04251707606321198,0.030927835051546393,1,68.0
funding_extreme_reversal_window,ferw_BTCUSDT_030786,BTCUSDT,2021-04-17 16:30:00+00:00,16,30786,30882,2021,0.00087572,0.00087572,0.00086985,pos_funding,0.5620711865356073,mid,bull,0.005826075315038108,0.18106050629285297,0.23711340206185566,1,5.0
funding_extreme_reversal_window,ferw_BTCUSDT_032608,BTCUSDT,2021-05-06 16:00:00+00:00,16,32608,32704,2021,0.0009352,0.0009352,0.00086985,pos_funding,0.7453527122014058,high,bull,0.0037420835027580693,0.048306328261968734,0.030927835051546393,1,10.0
funding_extreme_reversal_window,ferw_BTCUSDT_032960,BTCUSDT,2021-05-10 08:00:00+00:00,8,32960,33056,2021,0.00090258,0.00090258,0.00086985,pos_funding,0.735758492256854,high,bull,0.004162560454907774,0.09339283552130385,0.16494845360824742,1,14.0
funding_extreme_reversal_window,ferw_BTCUSDT_033856,BTCUSDT,2021-05-19 16:00:00+00:00,16,33856,33952,2021,-0.00089697,0.00089697,0.00086985,neg_funding,0.9992830938978969,high,bear,0.01979568986312391,0.20761655211865868,0.5979381443298969,1,0.0
funding_extreme_reversal_window,ferw_BTCUSDT_085632,BTCUSDT,2022-11-10 00:00:00+00:00,0,85632,85728,2022,-0.00119172,0.00119172,0.00086985,neg_funding,0.9808619675712006,high,bear,0.008397230477072635,0.15543107253657293,0.31958762886597936,1,0.0
funding_extreme_reversal_window,ferw_BTCUSDT_131872,BTCUSDT,2024-03-05 16:00:00+00:00,16,131872,131968,2024,0.00088148,0.00088148,0.00086985,pos_funding,0.9192976560530959,high,bull,0.007049942174631603,0.13160466828140416,0.30927835051546393,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_005472,ETHUSDT,2020-07-28 00:00:00+00:00,0,5472,5568,2020,0.00113558,0.00113558,0.00107233,pos_funding,0.8954300684034348,high,bull,0.005349821434038149,0.06596346638784686,0.08247422680412371,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_005760,ETHUSDT,2020-07-31 00:00:00+00:00,0,5760,5856,2020,0.00108946,0.00108946,0.00107233,pos_funding,0.6055103388824826,mid,bull,0.003817828702982599,0.06207718670838916,0.010309278350515464,1,24.0
funding_extreme_reversal_window,ferw_ETHUSDT_005952,ETHUSDT,2020-08-02 00:00:00+00:00,0,5952,6048,2020,0.00163562,0.00163562,0.00107233,pos_funding,0.8685948747802917,high,bull,0.011724046354520224,0.29736559963240927,0.30927835051546393,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_006752,ETHUSDT,2020-08-10 08:00:00+00:00,8,6752,6848,2020,0.00108975,0.00108975,0.00107233,pos_funding,0.5577118995107643,mid,bull,0.003783614695425434,0.036945252244278706,0.030927835051546393,1,9.0
funding_extreme_reversal_window,ferw_ETHUSDT_007104,ETHUSDT,2020-08-14 00:00:00+00:00,0,7104,7200,2020,0.00136967,0.00136967,0.00107233,pos_funding,0.9288593083528318,high,bull,0.006295219839930439,0.06454925205946191,0.041237113402061855,1,32.0
funding_extreme_reversal_window,ferw_ETHUSDT_007488,ETHUSDT,2020-08-18 00:00:00+00:00,0,7488,7584,2020,0.00133232,0.00133232,0.00107233,pos_funding,0.7569494978896812,high,bull,0.004024799848602163,0.04735942337014277,0.030927835051546393,1,56.0
funding_extreme_reversal_window,ferw_ETHUSDT_016800,ETHUSDT,2020-11-23 00:00:00+00:00,0,16800,16896,2020,0.00158187,0.00158187,0.00107233,pos_funding,0.903373151371987,high,bull,0.006558804135957694,0.10751381993591784,0.16494845360824742,1,0.0
funding_extreme_reversal_window,ferw_ETHUSDT_016960,ETHUSDT,2020-11-24 16:00:00+00:00,16,16960,17056,2020,0.00116688,0.00116688,0.00107233,pos_funding,0.9086573446928563,high,bull,0.005211406330162431,0.05714565611376884,0.030927835051546393,1,41.0
funding_extreme_reversal_window,ferw_ETHUSDT_017057,ETHUSDT,2020-11-25 16:15:00+00:00,16,17057,17153,2020,0.00116534,0.00116534,0.00107233,pos_funding,0.6584530300146659,mid,bull,0.0058439053139800945,0.19773191352920322,0.30927835051546393,1,17.0
