funding_sign,n,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
neg_funding,5,0.004498931193392626,0.061257471553871824,0.03711340206185565,0.0
pos_funding,107,0.0008884498657233155,0.025228286988669288,0.05723094710473071,0.06542056074766354
