event_id,symbol,year,funding_sign,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
ferw_BTCUSDT_005408,BTCUSDT,2020,pos_funding,0.0007105838774211061,0.0730696528417089,0.020618556701030924,0
ferw_BTCUSDT_005505,BTCUSDT,2020,pos_funding,-0.0003986410458301946,-0.017315502043128907,-0.05154639175257732,0
ferw_BTCUSDT_005952,BTCUSDT,2020,pos_funding,0.005424824466676763,0.08385535766307906,0.06185567010309278,0
ferw_BTCUSDT_006752,BTCUSDT,2020,pos_funding,0.0011213668677897606,-0.03840206296640346,-0.020618556701030924,0
ferw_BTCUSDT_007488,BTCUSDT,2020,pos_funding,0.0005006683427357765,0.020920166301827792,0.020618556701030927,1
ferw_BTCUSDT_016736,BTCUSDT,2020,pos_funding,0.001560940068515612,0.029368804535825143,0.07216494845360824,0
ferw_BTCUSDT_016864,BTCUSDT,2020,pos_funding,0.0004551777319685528,0.02973333770603396,0.030927835051546393,0
ferw_BTCUSDT_020704,BTCUSDT,2021,pos_funding,0.003204187851772126,0.0818180544518603,0.21649484536082475,0
ferw_BTCUSDT_020801,BTCUSDT,2021,pos_funding,0.002057131619756746,0.1284172954404926,0.36082474226804123,0
ferw_BTCUSDT_020928,BTCUSDT,2021,pos_funding,0.0025495727001677545,0.07152448608733311,0.25773195876288657,0
ferw_BTCUSDT_021025,BTCUSDT,2021,pos_funding,0.0004944325533034139,0.05136869878932446,0.29896907216494845,0
ferw_BTCUSDT_021122,BTCUSDT,2021,pos_funding,-0.0010363075793502008,-0.009738297558201603,-0.020618556701030966,0
ferw_BTCUSDT_021219,BTCUSDT,2021,pos_funding,-1.7583095675934024e-05,-0.0226168020248719,0.02061855670103091,0
ferw_BTCUSDT_021376,BTCUSDT,2021,pos_funding,0.0009203338780036157,0.00086849370572048,-0.010309278350515455,0
ferw_BTCUSDT_021952,BTCUSDT,2021,pos_funding,0.0025610560587975414,0.021768737883368514,0.24742268041237114,0
ferw_BTCUSDT_022240,BTCUSDT,2021,pos_funding,0.0007949209080544122,0.030425616665491956,0.030927835051546393,0
ferw_BTCUSDT_022337,BTCUSDT,2021,pos_funding,0.0003859081468360545,0.0741192581580839,0.11340206185567009,0
ferw_BTCUSDT_023296,BTCUSDT,2021,pos_funding,0.00467502734475554,0.06069584304039216,0.22680412371134023,0
ferw_BTCUSDT_023680,BTCUSDT,2021,pos_funding,0.00029059033433343796,0.02237627843090626,0.0,0
ferw_BTCUSDT_023968,BTCUSDT,2021,pos_funding,0.0005882297812048131,0.03165861590133971,0.020618556701030924,0
ferw_BTCUSDT_024065,BTCUSDT,2021,pos_funding,0.0013354482677311783,0.03824987242776985,0.13402061855670103,0
ferw_BTCUSDT_024162,BTCUSDT,2021,pos_funding,0.0005830702982400696,0.1491452297136765,0.14432989690721648,0
ferw_BTCUSDT_024259,BTCUSDT,2021,pos_funding,0.0017582920485454956,0.04393601990738445,0.020618556701030966,0
ferw_BTCUSDT_024356,BTCUSDT,2021,pos_funding,-0.00038784410417383886,-0.0008166930129107214,-0.041237113402061876,0
ferw_BTCUSDT_024453,BTCUSDT,2021,pos_funding,-0.0009733383907083726,0.04535242402876061,-0.010309278350515483,0
ferw_BTCUSDT_024550,BTCUSDT,2021,pos_funding,0.000829723651899374,0.01220632658488386,0.0824742268041237,0
ferw_BTCUSDT_024647,BTCUSDT,2021,pos_funding,-0.002925959592170923,-0.05535194731248329,-0.24742268041237112,0
ferw_BTCUSDT_024800,BTCUSDT,2021,pos_funding,-0.0001315088878706223,0.015128461774378835,-0.04123711340206186,0
ferw_BTCUSDT_024960,BTCUSDT,2021,pos_funding,-0.0003932610772585995,-0.0012702180228975624,-0.030927835051546393,0
ferw_BTCUSDT_025057,BTCUSDT,2021,pos_funding,8.06827396125729e-06,0.006937990345999345,-0.030927835051546393,0
ferw_BTCUSDT_025154,BTCUSDT,2021,pos_funding,0.00011557103275581636,-0.030322468068942975,-0.030927835051546393,0
ferw_BTCUSDT_025251,BTCUSDT,2021,pos_funding,0.00034369067538809507,0.0725373257627835,0.09278350515463916,0
ferw_BTCUSDT_025348,BTCUSDT,2021,pos_funding,0.000587791536738777,0.014695629198994024,0.061855670103092786,0
ferw_BTCUSDT_025445,BTCUSDT,2021,pos_funding,-0.00038677229312845084,-0.06263170113581265,-0.010309278350515455,0
ferw_BTCUSDT_025542,BTCUSDT,2021,pos_funding,-7.164053747231273e-05,0.07180078577852661,0.0824742268041237,0
ferw_BTCUSDT_027168,BTCUSDT,2021,pos_funding,-0.0005639882823615617,0.01510716431707882,-0.02061855670103091,0
ferw_BTCUSDT_027265,BTCUSDT,2021,pos_funding,0.0009980574293593832,0.04026378538221124,0.1134020618556701,1
ferw_BTCUSDT_027520,BTCUSDT,2021,pos_funding,0.0012018615150143743,0.07367551540357109,0.21649484536082475,0
ferw_BTCUSDT_029184,BTCUSDT,2021,pos_funding,-0.0009746904750666074,-0.030382153056301906,-0.07216494845360824,-1
ferw_BTCUSDT_029312,BTCUSDT,2021,pos_funding,-0.0002287182661034801,-0.025499102936825425,-0.010309278350515464,0
ferw_BTCUSDT_029409,BTCUSDT,2021,pos_funding,0.00027168145992516714,0.009476335402271503,0.010309278350515465,0
ferw_BTCUSDT_029664,BTCUSDT,2021,pos_funding,0.00011506226955468931,0.004691811825867899,0.010309278350515464,1
ferw_BTCUSDT_030080,BTCUSDT,2021,pos_funding,0.00013643343858165584,-0.0014975691125861668,-0.020618556701030927,0
