timestamp,funding_rate,symbol,source
2021-04-25 08:00:00.010000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-25 16:00:00+00:00,8.0,BTCUSDT,archive_monthly
2021-04-26 00:00:00.003000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-26 08:00:00.002000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-26 16:00:00.004000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-27 00:00:00+00:00,8.0,BTCUSDT,archive_monthly
2021-04-27 08:00:00+00:00,8.0,BTCUSDT,archive_monthly
2021-04-27 16:00:00.009000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-28 00:00:00+00:00,8.0,BTCUSDT,archive_monthly
2021-04-28 08:00:00+00:00,8.0,BTCUSDT,archive_monthly
2021-04-28 16:00:00.001000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-29 00:00:00.004000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-29 08:00:00.013000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-29 16:00:00.003000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-30 00:00:00.004000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-30 08:00:00.019000+00:00,8.0,BTCUSDT,archive_monthly
2021-04-30 16:00:00.003000+00:00,8.0,BTCUSDT,archive_monthly
