window_x,window_y,n,delta_secondary_shock,delta_realized_vol_mean_96,delta_range_expansion_96
0,48,294,0.030612244897959183,0.0006308019651632431,0.008544854146956772
0,96,294,0.027210884353741496,0.0007852274972303528,0.011119306257412465
24,96,294,0.04081632653061224,0.0007186774492719763,0.009130677329885874
48,144,294,0.023809523809523808,0.0004506407095885087,0.005599161011204259
