parent_event_id,symbol,window_x,window_y,delta_secondary_shock,delta_realized_vol_mean_96,delta_range_expansion_96,year
vsr_v1_BTCUSDT_000013,BTCUSDT,0,48,0.0,0.0004045353734135181,-0.0033367960295688694,2020
vsr_v1_BTCUSDT_000013,BTCUSDT,0,96,0.0,0.00040458634269760236,0.015270814462634287,2020
vsr_v1_BTCUSDT_000013,BTCUSDT,24,96,0.0,-0.0002184362558738562,-0.000985339893764512,2020
vsr_v1_BTCUSDT_000013,BTCUSDT,48,144,1.0,0.000586520316279375,0.024711657393317342,2020
vsr_v1_BTCUSDT_000014,BTCUSDT,0,48,0.0,-0.00046407449017211544,-0.021594937254249942,2020
vsr_v1_BTCUSDT_000014,BTCUSDT,0,96,0.0,0.0004953957364600338,0.006478008984371649,2020
vsr_v1_BTCUSDT_000014,BTCUSDT,24,96,-1.0,-0.001885094756078736,-0.037789261757489395,2020
vsr_v1_BTCUSDT_000014,BTCUSDT,48,144,0.0,-8.346774814173828e-05,-0.017772298006712765,2020
vsr_v1_BTCUSDT_000015,BTCUSDT,0,48,0.0,0.0025187354113017472,0.03118420069834567,2020
vsr_v1_BTCUSDT_000015,BTCUSDT,0,96,0.0,0.0012857097299388662,0.006405768728729763,2020
vsr_v1_BTCUSDT_000015,BTCUSDT,24,96,0.0,0.0006135116695791293,0.012607845167342403,2020
vsr_v1_BTCUSDT_000015,BTCUSDT,48,144,0.0,0.0004307946469248986,-0.007537392366628218,2020
vsr_v1_BTCUSDT_000016,BTCUSDT,0,48,0.0,0.0008497347148782508,0.004797282369098259,2020
vsr_v1_BTCUSDT_000016,BTCUSDT,0,96,0.0,2.653240970524771e-05,-0.0328074759842918,2020
vsr_v1_BTCUSDT_000016,BTCUSDT,24,96,0.0,-1.1320339655251834e-05,-0.0047481836273083194,2020
vsr_v1_BTCUSDT_000016,BTCUSDT,48,144,0.0,-0.0002565590827429804,0.021086020385513674,2020
vsr_v1_BTCUSDT_000017,BTCUSDT,0,48,0.0,0.002662010068706696,0.03743076762884598,2020
vsr_v1_BTCUSDT_000017,BTCUSDT,0,96,0.0,0.002273729441129861,0.035984011719708,2020
vsr_v1_BTCUSDT_000017,BTCUSDT,24,96,0.0,0.0014722851420716733,0.01797633027848777,2020
vsr_v1_BTCUSDT_000017,BTCUSDT,48,144,0.0,-0.00011051177055861235,-0.043836672001231244,2020
vsr_v1_BTCUSDT_000018,BTCUSDT,0,48,0.0,0.0021210760782498592,0.048554823186522385,2020
vsr_v1_BTCUSDT_000018,BTCUSDT,0,96,1.0,0.004218137257367846,0.12480815071706952,2020
vsr_v1_BTCUSDT_000018,BTCUSDT,24,96,1.0,0.005082322398213513,0.06203079263583167,2020
vsr_v1_BTCUSDT_000018,BTCUSDT,48,144,1.0,0.004737206684736648,0.049194618459018694,2020
vsr_v1_BTCUSDT_000019,BTCUSDT,0,48,0.0,0.00048131584347411906,0.005306760458868638,2020
vsr_v1_BTCUSDT_000019,BTCUSDT,0,96,0.0,0.0009333800379832643,-0.00908026293834805,2020
vsr_v1_BTCUSDT_000019,BTCUSDT,24,96,0.0,-0.00037338847411345737,0.005670907927244617,2020
vsr_v1_BTCUSDT_000019,BTCUSDT,48,144,0.0,-0.0005917085657875594,0.00970544183028281,2020
vsr_v1_BTCUSDT_000020,BTCUSDT,0,48,0.0,4.2886282967136494e-05,-0.06459437668849272,2020
vsr_v1_BTCUSDT_000020,BTCUSDT,0,96,0.0,-0.0005901194118397221,-0.040939414762409775,2020
vsr_v1_BTCUSDT_000020,BTCUSDT,24,96,0.0,-0.0008741781098054969,-0.012061495450634944,2020
vsr_v1_BTCUSDT_000020,BTCUSDT,48,144,0.0,-0.009126534233500752,-0.12048307190151135,2020
vsr_v1_BTCUSDT_000021,BTCUSDT,0,48,0.0,0.0012354803146177006,0.03437045051348917,2021
vsr_v1_BTCUSDT_000021,BTCUSDT,0,96,0.0,0.003695198729336002,0.014037825160422145,2021
vsr_v1_BTCUSDT_000021,BTCUSDT,24,96,0.0,0.003346806402672914,-0.009855598496095144,2021
vsr_v1_BTCUSDT_000021,BTCUSDT,48,144,0.0,0.0051425488552912305,0.12913509069249623,2021
vsr_v1_BTCUSDT_000022,BTCUSDT,0,48,0.0,0.0033160488871644186,0.008822469647595602,2021
vsr_v1_BTCUSDT_000022,BTCUSDT,0,96,0.0,0.0033657666316624004,-0.03841409624575237,2021
vsr_v1_BTCUSDT_000022,BTCUSDT,24,96,0.0,0.001313091740167683,0.017469744299626527,2021
vsr_v1_BTCUSDT_000022,BTCUSDT,48,144,0.0,0.00047959293303796377,-0.008560354501033665,2021
vsr_v1_BTCUSDT_000023,BTCUSDT,0,48,0.0,-0.002173625282786305,-0.04846927273537495,2021
vsr_v1_BTCUSDT_000023,BTCUSDT,0,96,0.0,-0.00185509046492356,-0.06044355386756362,2021
vsr_v1_BTCUSDT_000023,BTCUSDT,24,96,0.0,-0.005029828163894915,-0.08964891627336401,2021
vsr_v1_BTCUSDT_000023,BTCUSDT,48,144,0.0,-0.004069933567585429,-0.07466321706626218,2021
vsr_v1_BTCUSDT_000024,BTCUSDT,0,48,0.0,0.003998821777228606,0.10143494895009858,2021
vsr_v1_BTCUSDT_000024,BTCUSDT,0,96,0.0,0.0023420220124366698,0.07489007599984282,2021
vsr_v1_BTCUSDT_000024,BTCUSDT,24,96,0.0,0.003796019825993106,0.030272572956637815,2021
vsr_v1_BTCUSDT_000024,BTCUSDT,48,144,0.0,0.00039843998681998293,0.0003328937138015603,2021
vsr_v1_BTCUSDT_000025,BTCUSDT,0,48,0.0,0.00039058081927429095,0.001852818092937046,2021
vsr_v1_BTCUSDT_000025,BTCUSDT,0,96,0.0,0.0015934519907393405,-0.012057188344907412,2021
vsr_v1_BTCUSDT_000025,BTCUSDT,24,96,0.0,-0.0017208276235662267,-0.05245527785231302,2021
vsr_v1_BTCUSDT_000025,BTCUSDT,48,144,0.0,0.0010247261066200987,0.041754181937666834,2021
vsr_v1_BTCUSDT_000026,BTCUSDT,0,48,0.0,0.0027137756481716217,0.04763152975583058,2021
vsr_v1_BTCUSDT_000026,BTCUSDT,0,96,0.0,0.003489351783617205,0.041488864161332864,2021
vsr_v1_BTCUSDT_000026,BTCUSDT,24,96,0.0,0.003339706516592748,0.027514248115028554,2021
vsr_v1_BTCUSDT_000026,BTCUSDT,48,144,0.0,0.00018759918363955332,-0.04972653497616705,2021
vsr_v1_BTCUSDT_000027,BTCUSDT,0,48,0.0,0.007524900610645424,0.04090254825463388,2021
vsr_v1_BTCUSDT_000027,BTCUSDT,0,96,0.0,0.005793576503481661,-0.00012894006524402646,2021
vsr_v1_BTCUSDT_000027,BTCUSDT,24,96,0.0,0.005452374257966665,0.03818746449123657,2021
vsr_v1_BTCUSDT_000027,BTCUSDT,48,144,0.0,0.0025794104519107006,0.07698149291102563,2021
vsr_v1_BTCUSDT_000028,BTCUSDT,0,48,0.0,0.001576105803986579,0.020305028130273555,2021
vsr_v1_BTCUSDT_000028,BTCUSDT,0,96,0.0,0.0023569517413367697,0.06547497172902539,2021
vsr_v1_BTCUSDT_000028,BTCUSDT,24,96,0.0,0.00201243873230377,0.03338302480305111,2021
vsr_v1_BTCUSDT_000028,BTCUSDT,48,144,0.0,0.0011635513964747416,0.018081919450751605,2021
vsr_v1_BTCUSDT_000029,BTCUSDT,0,48,0.0,0.0007131264775926956,0.0032847973048449573,2021
vsr_v1_BTCUSDT_000029,BTCUSDT,0,96,0.0,-0.0010939407702097825,-0.016925094784594565,2021
vsr_v1_BTCUSDT_000029,BTCUSDT,24,96,0.0,-0.0001094172065205499,-0.006338964010419883,2021
vsr_v1_BTCUSDT_000029,BTCUSDT,48,144,0.0,0.00044677852680387016,0.004486284830922518,2021
vsr_v1_BTCUSDT_000030,BTCUSDT,0,48,0.0,0.0008165662959792332,0.004363810965295357,2021
vsr_v1_BTCUSDT_000030,BTCUSDT,0,96,0.0,0.00021339478798492253,0.009852796793981898,2021
vsr_v1_BTCUSDT_000030,BTCUSDT,24,96,0.0,0.0005610746167172944,0.01184637616731829,2021
vsr_v1_BTCUSDT_000030,BTCUSDT,48,144,0.0,-0.00019160276568252295,0.003110597047372231,2021
vsr_v1_BTCUSDT_000031,BTCUSDT,0,48,0.0,0.0018362524368040164,0.020748883251513407,2021
vsr_v1_BTCUSDT_000031,BTCUSDT,0,96,0.0,0.004254641281778311,0.08443742747491594,2021
vsr_v1_BTCUSDT_000031,BTCUSDT,24,96,0.0,0.004521762830023508,0.07333516707368828,2021
vsr_v1_BTCUSDT_000031,BTCUSDT,48,144,0.0,0.0031966785290714703,0.06446365185427128,2021
vsr_v1_BTCUSDT_000032,BTCUSDT,0,48,0.0,0.0008953574913082027,0.007430439413534346,2021
vsr_v1_BTCUSDT_000032,BTCUSDT,0,96,0.0,0.0007378316628389408,-0.023147811255407956,2021
vsr_v1_BTCUSDT_000032,BTCUSDT,24,96,0.0,-9.567596983351941e-05,-0.04285238570335513,2021
vsr_v1_BTCUSDT_000032,BTCUSDT,48,144,0.0,-0.0002530998233474355,-0.029928207260725925,2021
vsr_v1_BTCUSDT_000033,BTCUSDT,0,48,0.0,0.0002279518459464766,-0.039636858083876465,2021
vsr_v1_BTCUSDT_000033,BTCUSDT,0,96,0.0,0.00028868147778304213,-0.017972847373092148,2021
vsr_v1_BTCUSDT_000033,BTCUSDT,24,96,0.0,0.0004416720291158722,-0.001587753921210966,2021
vsr_v1_BTCUSDT_000033,BTCUSDT,48,144,0.0,-0.0008897319194233733,-0.01144140528068232,2021
vsr_v1_BTCUSDT_000034,BTCUSDT,0,48,0.0,0.0013750584407468329,-0.0009137955120728375,2021
vsr_v1_BTCUSDT_000034,BTCUSDT,0,96,0.0,-0.00034849848241693456,-0.030282158411484753,2021
vsr_v1_BTCUSDT_000034,BTCUSDT,24,96,0.0,0.000759554097752167,-0.028532694841951006,2021
vsr_v1_BTCUSDT_000034,BTCUSDT,48,144,0.0,0.00065864527585315,-0.0019055356215763875,2021
vsr_v1_BTCUSDT_000035,BTCUSDT,0,48,0.0,0.002336842017872354,0.0346627830547148,2021
vsr_v1_BTCUSDT_000035,BTCUSDT,0,96,0.0,0.0013025427181895086,0.021495914234410794,2021
vsr_v1_BTCUSDT_000035,BTCUSDT,24,96,0.0,0.0020996784634377333,0.02633600639728765,2021
vsr_v1_BTCUSDT_000035,BTCUSDT,48,144,0.0,0.002329212036906762,0.013135072251464205,2021
vsr_v1_BTCUSDT_000036,BTCUSDT,0,48,0.0,0.0011336974967447438,0.01964757612943621,2022
vsr_v1_BTCUSDT_000036,BTCUSDT,0,96,0.0,0.000692825922658737,-0.010228533173795032,2022
vsr_v1_BTCUSDT_000036,BTCUSDT,24,96,0.0,0.0007195856291854065,0.015419182311947683,2022
