event_id,symbol,window_x,window_y,start_idx,end_idx,rv_rank,secondary_shock_within,time_to_secondary_shock,realized_vol_mean,range_expansion
vsr_v1_BTCUSDT_000011,BTCUSDT,0,48,52033,52081,0.7800135982026724,0,,0.0024832719186854467,0.026609259138452145
vsr_v1_BTCUSDT_000011,BTCUSDT,0,96,52444,52540,0.7806757715501951,0,,0.0028499424382081753,0.05249156183836844
vsr_v1_BTCUSDT_000011,BTCUSDT,24,96,74705,74777,0.818458082062197,0,,0.004955666060635626,0.10247729224920964
vsr_v1_BTCUSDT_000011,BTCUSDT,48,144,54065,54161,0.8356479839186473,0,,0.0026443645189486885,0.042714975702628694
vsr_v1_BTCUSDT_000012,BTCUSDT,0,48,173856,173904,0.23603819321272318,0,,0.0012889537146545077,0.01078831838874855
vsr_v1_BTCUSDT_000012,BTCUSDT,0,96,100628,100724,0.23524595010050844,0,,0.0008203596205497136,0.011914086926757985
vsr_v1_BTCUSDT_000012,BTCUSDT,24,96,137128,137200,0.23447144377438808,0,,0.0025282867079020163,0.0474972807814739
vsr_v1_BTCUSDT_000012,BTCUSDT,48,144,175015,175111,0.24799574317133735,0,,0.0017869073579008313,0.04013749798803738
vsr_v1_BTCUSDT_000013,BTCUSDT,0,48,142406,142454,0.09230223483504789,0,,0.0007667556857155139,0.013994409069731302
vsr_v1_BTCUSDT_000013,BTCUSDT,0,96,87854,87950,0.09188246423081471,0,,0.0008977173448842193,0.011518854112154564
vsr_v1_BTCUSDT_000013,BTCUSDT,24,96,113199,113271,0.09878207402152063,0,,0.0014977372933197728,0.027744986757472542
vsr_v1_BTCUSDT_000013,BTCUSDT,48,144,179001,179097,0.10098439162823697,0,,0.001530437789491952,0.033140401656744534
vsr_v1_BTCUSDT_000014,BTCUSDT,0,48,122940,122988,0.1057644554806669,0,,0.0019901913543586133,0.03779324855035265
vsr_v1_BTCUSDT_000014,BTCUSDT,0,96,3097,3193,0.10600094596192504,0,,0.0008559197110927345,0.009720302311731056
vsr_v1_BTCUSDT_000014,BTCUSDT,24,96,86733,86805,0.1302323518978361,1,39.0,0.0031345107695157307,0.05162855809612688
vsr_v1_BTCUSDT_000014,BTCUSDT,48,144,119771,119867,0.16416577982736194,0,,0.001266470787290738,0.0341673705980018
vsr_v1_BTCUSDT_000015,BTCUSDT,0,48,511,559,0.4324198888494738,0,,0.0015550705112992362,0.016626237966347965
vsr_v1_BTCUSDT_000015,BTCUSDT,0,96,2509,2605,0.4321508809270427,0,,0.002042400811397848,0.041404669935963874
vsr_v1_BTCUSDT_000015,BTCUSDT,24,96,29354,29426,0.5328603523708171,0,,0.002089268702368053,0.024236905759028794
vsr_v1_BTCUSDT_000015,BTCUSDT,48,144,157473,157569,0.5922076386425447,0,,0.0022471989974388665,0.046537373581641214
vsr_v1_BTCUSDT_000016,BTCUSDT,0,48,30733,30781,0.7813822868629537,0,,0.0024240738315510642,0.03627643960963429
vsr_v1_BTCUSDT_000016,BTCUSDT,0,96,126695,126791,0.781065980844271,0,,0.003517561524672731,0.08067321190180866
vsr_v1_BTCUSDT_000016,BTCUSDT,24,96,36671,36743,0.8287897599621615,0,,0.00363654748555184,0.05249035028511028
vsr_v1_BTCUSDT_000016,BTCUSDT,48,144,45956,46052,0.843328012297505,0,,0.003841301561145587,0.03679129515809132
vsr_v1_BTCUSDT_000017,BTCUSDT,0,48,126835,126883,0.8693951755941823,0,,0.0020485403820822267,0.017819596422078903
vsr_v1_BTCUSDT_000017,BTCUSDT,0,96,126830,126926,0.8693951755941823,0,,0.0018464169143245098,0.01926635233121689
vsr_v1_BTCUSDT_000017,BTCUSDT,24,96,53655,53727,0.8835373063734184,0,,0.0026107436329805755,0.030293652981071225
vsr_v1_BTCUSDT_000017,BTCUSDT,48,144,133096,133192,0.901167671751212,0,,0.0037192714384854672,0.08310965465979214
vsr_v1_BTCUSDT_000018,BTCUSDT,0,48,50398,50446,0.49043987229514013,0,,0.0029386944304215365,0.05794099922564063
vsr_v1_BTCUSDT_000018,BTCUSDT,0,96,170949,171045,0.4900762681802057,0,,0.0022824123140892175,0.02691957201715594
vsr_v1_BTCUSDT_000018,BTCUSDT,24,96,137912,137984,0.49640534468487646,0,,0.0021975663139569977,0.036547809689859996
vsr_v1_BTCUSDT_000018,BTCUSDT,48,144,60274,60370,0.5153541444956841,0,,0.0017938303792503464,0.020661445602833197
vsr_v1_BTCUSDT_000019,BTCUSDT,0,48,40793,40841,0.894463166607544,0,,0.003632300213572752,0.036893436899982486
vsr_v1_BTCUSDT_000019,BTCUSDT,0,96,44709,44805,0.894129123802767,0,,0.0026455523575978556,0.051280460297199175
vsr_v1_BTCUSDT_000019,BTCUSDT,24,96,37860,37932,0.9184965117654015,0,,0.0038718927980381465,0.033161881712821965
vsr_v1_BTCUSDT_000019,BTCUSDT,48,144,37814,37910,0.9477562965590635,0,,0.003935784695296345,0.06276962209061844
vsr_v1_BTCUSDT_000020,BTCUSDT,0,48,40755,40803,0.91916164124394,0,,0.003652380043943994,0.09933486470276161
vsr_v1_BTCUSDT_000020,BTCUSDT,0,96,58053,58149,0.9193153600567577,0,,0.004041149832818375,0.08937153755787154
vsr_v1_BTCUSDT_000020,BTCUSDT,24,96,97871,97943,0.9301229750502542,0,,0.0042228352481442615,0.06106093088752741
vsr_v1_BTCUSDT_000020,BTCUSDT,48,144,25636,25732,0.9100804067636278,0,,0.012836506385978401,0.17046556131304863
vsr_v1_BTCUSDT_000021,BTCUSDT,0,48,41704,41752,0.8976587442355445,0,,0.004534451959520645,0.03833476617013489
vsr_v1_BTCUSDT_000021,BTCUSDT,0,96,53228,53324,0.8976764810216389,0,,0.0026662648532779546,0.06054558406722215
vsr_v1_BTCUSDT_000021,BTCUSDT,24,96,15290,15362,0.8991693271845809,0,,0.0033092838732725876,0.08041237113402062
vsr_v1_BTCUSDT_000021,BTCUSDT,48,144,36606,36702,0.9042834338417879,0,,0.0030876499587953487,0.06011698553127214
vsr_v1_BTCUSDT_000022,BTCUSDT,0,48,25882,25930,0.9946848764337235,0,,0.006787913922290905,0.10707206039581565
vsr_v1_BTCUSDT_000022,BTCUSDT,0,96,25855,25951,0.9950189192385006,0,,0.006713087207546179,0.159404832758005
vsr_v1_BTCUSDT_000022,BTCUSDT,24,96,33964,34036,0.9968724133853613,0,,0.009152655467862932,0.07714683192108251
vsr_v1_BTCUSDT_000022,BTCUSDT,48,144,34094,34190,0.9988471089038666,0,,0.00795563338616247,0.09966944594925195
vsr_v1_BTCUSDT_000023,BTCUSDT,0,48,20945,20993,0.9867565330495448,0,,0.008427216447942441,0.09089275855818825
vsr_v1_BTCUSDT_000023,BTCUSDT,0,96,71400,71496,0.9863012888731229,0,,0.006969671982219257,0.1105684529783011
vsr_v1_BTCUSDT_000023,BTCUSDT,24,96,71441,71513,0.9873300224665957,0,,0.009595926283870349,0.12859619708112635
vsr_v1_BTCUSDT_000023,BTCUSDT,48,144,71463,71559,0.9866796736431359,0,,0.00799970089140431,0.1420974071547898
vsr_v1_BTCUSDT_000024,BTCUSDT,0,48,60970,61018,0.9404369161641244,0,,0.0027003615014534045,0.027486047082088967
vsr_v1_BTCUSDT_000024,BTCUSDT,0,96,31344,31440,0.9405226439635804,0,,0.004522395644553086,0.05403092003234471
vsr_v1_BTCUSDT_000024,BTCUSDT,24,96,36161,36233,0.945825943005794,0,,0.0028901688905206523,0.03903823733166633
vsr_v1_BTCUSDT_000024,BTCUSDT,48,144,33434,33530,0.950724252098853,0,,0.00555554734644917,0.06491271457311529
vsr_v1_BTCUSDT_000025,BTCUSDT,0,48,68889,68937,0.8206692680619605,0,,0.0031836674240304655,0.03676084762865797
vsr_v1_BTCUSDT_000025,BTCUSDT,0,96,143716,143812,0.8200307437625636,0,,0.002344592949585789,0.07214953658229224
vsr_v1_BTCUSDT_000025,BTCUSDT,24,96,60743,60815,0.8422726735248907,0,,0.005758744717392132,0.11086771519525955
vsr_v1_BTCUSDT_000025,BTCUSDT,48,144,52716,52812,0.8416755350597138,0,,0.003340704185586956,0.028405725347860972
vsr_v1_BTCUSDT_000026,BTCUSDT,0,48,20296,20344,0.9304540617240156,0,,0.0036783502637893193,0.03659297103926231
vsr_v1_BTCUSDT_000026,BTCUSDT,0,96,17417,17513,0.9305427456544874,0,,0.00300894564027342,0.042735636633760024
vsr_v1_BTCUSDT_000026,BTCUSDT,24,96,31079,31151,0.9488500650348823,0,,0.003405488461277633,0.05014113893528908
vsr_v1_BTCUSDT_000026,BTCUSDT,48,144,31582,31678,0.949600922312877,0,,0.005115688922285002,0.11440981288665382
