symbol,direction,entry_time,exit_time,entry_price,exit_price,qty,pnl,r_multiple,exit_reason,stop_price,target_price
ETHUSDT,long,2021-02-01 21:45:00+00:00,2021-02-02 09:45:00+00:00,1352.26,1440.82,1.0,0.06328879939838336,1.0403952330957682,time,1270.0,1516.78
ETHUSDT,short,2021-02-07 01:45:00+00:00,2021-02-07 13:45:00+00:00,1643.18,1587.66,1.0,0.03244586672268143,0.6490674370754294,time,1725.32,1478.9000000000003
ETHUSDT,long,2021-02-12 16:15:00+00:00,2021-02-13 04:15:00+00:00,1818.25,1865.91,1.0,0.025180140454832724,0.5867460000256262,time,1740.22,1974.31
ETHUSDT,long,2021-02-14 06:00:00+00:00,2021-02-14 18:00:00+00:00,1854.55,1812.49,1.0,-0.02391581706989556,-0.494129662956493,time,1764.79,2034.07
ETHUSDT,short,2021-02-15 01:15:00+00:00,2021-02-15 13:15:00+00:00,1772.72,1809.5,1.0,-0.02310546513411451,-0.48216033140138265,time,1857.67,1602.82
ETHUSDT,long,2021-02-19 16:30:00+00:00,2021-02-20 04:30:00+00:00,1965.54,2031.56,1.0,0.032423325333672405,0.8908211193227075,time,1894.0,2108.62
ETHUSDT,long,2021-05-01 01:45:00+00:00,2021-05-01 13:45:00+00:00,2806.7,2873.6,1.0,0.022564334106916918,0.7934266667236776,time,2726.88,2966.3399999999992
ETHUSDT,long,2021-05-02 18:45:00+00:00,2021-05-03 06:45:00+00:00,2968.45,3090.99,1.0,0.03952533525240495,1.0499237711856957,time,2856.7,3191.95
ETHUSDT,long,2021-06-03 05:30:00+00:00,2021-06-03 17:30:00+00:00,2808.24,2836.45,1.0,0.009462218342114227,0.14607322322609465,time,2626.33,3172.0599999999995
ETHUSDT,long,2021-06-07 00:15:00+00:00,2021-06-07 12:15:00+00:00,2746.48,2808.58,1.0,0.021446927160622332,0.46708077478475907,time,2620.37,2998.7000000000003
ETHUSDT,short,2021-06-10 16:00:00+00:00,2021-06-11 04:00:00+00:00,2489.73,2468.98,1.0,0.0067131132146800235,0.12142273420984587,time,2627.38,2214.43
