symbol,direction,entry_time,exit_time,entry_price,exit_price,qty,pnl,r_multiple,exit_reason,stop_price,target_price
BTCUSDT,long,2021-02-14 05:30:00+00:00,2021-02-14 17:30:00+00:00,48070.0,48984.97,1.0,0.018164059656930773,0.48030493850523215,time,46252.1,51705.8
BTCUSDT,long,2021-02-19 09:00:00+00:00,2021-02-19 21:00:00+00:00,52806.35,56034.85,1.0,0.05861574738186778,1.542743624870285,time,50800.0,56819.049999999996
BTCUSDT,long,2021-04-03 08:00:00+00:00,2021-04-03 17:15:00+00:00,59797.22,58574.59,1.0,-0.021740786724789872,-0.9945291860826179,stop,58490.03,62411.600000000006
BTCUSDT,short,2021-04-05 05:45:00+00:00,2021-04-05 14:15:00+00:00,56949.2,58689.6,1.0,-0.031404181982207534,-1.1151284702214304,stop,58553.0,53741.59999999999
BTCUSDT,long,2021-04-10 03:00:00+00:00,2021-04-10 04:15:00+00:00,59000.0,60997.48,1.0,0.03232080352052145,1.4668672367005888,target,57700.0,61600.0
BTCUSDT,long,2021-04-12 07:15:00+00:00,2021-04-12 19:15:00+00:00,61150.04,60163.04,1.0,-0.017278397422324086,-0.5723527878955875,time,59304.02,64842.08000000001
BTCUSDT,long,2021-06-03 05:00:00+00:00,2021-06-03 17:00:00+00:00,38338.62,38855.01,1.0,0.012577149150367874,0.2635583490709559,time,36509.08,41997.700000000004
BTCUSDT,long,2021-06-07 01:45:00+00:00,2021-06-07 13:45:00+00:00,36680.0,36323.63,1.0,-0.010831809816788905,-0.2687910374388199,time,35201.86,39636.28
BTCUSDT,long,2021-06-13 16:00:00+00:00,2021-06-14 04:00:00+00:00,36476.3,38820.25,1.0,0.06208619880930352,1.303605036510667,time,34739.06,39950.78000000001
BTCUSDT,short,2021-06-20 09:45:00+00:00,2021-06-20 21:45:00+00:00,34977.28,35532.73,1.0,-0.017561048179795334,-0.4109932950232784,time,36471.8,31988.23999999999
BTCUSDT,long,2021-07-03 07:15:00+00:00,2021-07-03 19:15:00+00:00,33911.23,34625.0,1.0,0.019825161747488697,0.579450298480723,time,32751.0,36231.69000000001
BTCUSDT,long,2021-07-04 07:45:00+00:00,2021-07-04 19:45:00+00:00,35565.98,35553.72,1.0,-0.0014744225312723,-0.03987838770078623,time,34251.0,38195.94000000001
BTCUSDT,short,2021-07-07 23:00:00+00:00,2021-07-08 11:00:00+00:00,33901.62,32297.58,1.0,0.04673951269425777,1.333859621147457,time,35089.56,31525.740000000013
BTCUSDT,long,2021-07-09 13:30:00+00:00,2021-07-10 01:30:00+00:00,33373.87,33902.01,1.0,0.014672850704778508,0.43571748685407136,time,32250.0,35621.61000000001
BTCUSDT,long,2021-07-11 21:15:00+00:00,2021-07-12 09:15:00+00:00,34112.35,34158.15,1.0,0.00026250163197869686,0.011105451366242313,time,33306.03,35724.99
BTCUSDT,short,2021-08-12 05:15:00+00:00,2021-08-12 17:15:00+00:00,45192.04,44174.59,1.0,0.021326847762683877,0.6169410119925509,time,46754.27,42067.58000000001
BTCUSDT,short,2021-08-22 14:45:00+00:00,2021-08-23 01:30:00+00:00,48290.01,49882.38,1.0,-0.033831366091270375,-1.0587994781956522,stop,49833.0,45204.030000000006
BTCUSDT,short,2021-08-24 01:00:00+00:00,2021-08-24 13:00:00+00:00,48988.46,49158.69,1.0,-0.0047882887538565275,-0.1455569778514652,time,50600.0,45765.38
BTCUSDT,long,2021-08-29 00:45:00+00:00,2021-08-29 03:15:00+00:00,49620.82,48247.36,1.0,-0.029183704583869895,-1.181974217528494,stop,48395.65,52071.159999999996
BTCUSDT,long,2021-09-05 14:15:00+00:00,2021-09-06 02:15:00+00:00,50458.97,51750.0,1.0,0.024244772180639453,1.113193473998125,time,49360.0,52656.91
BTCUSDT,long,2021-09-06 22:00:00+00:00,2021-09-07 09:30:00+00:00,52302.24,50823.57,1.0,-0.029681469429495254,-1.2298828571857383,stop,51040.0,54826.719999999994
BTCUSDT,short,2021-10-03 00:45:00+00:00,2021-10-03 12:45:00+00:00,47255.75,47947.51,1.0,-0.015796120171610716,-0.6892943272414587,time,48338.68,45089.89
BTCUSDT,short,2021-10-24 11:30:00+00:00,2021-10-24 23:30:00+00:00,60324.37,60887.69,1.0,-0.010673344313557064,-0.4423258462029592,time,61780.0,57413.11000000001
BTCUSDT,short,2021-10-26 14:00:00+00:00,2021-10-27 02:00:00+00:00,62110.08,60654.49,1.0,0.022282601424128835,0.8209111792281599,time,63795.98,58738.28
BTCUSDT,short,2021-11-03 12:30:00+00:00,2021-11-04 00:30:00+00:00,62600.35,62878.0,1.0,-0.005835478541244908,-0.20884004064682127,time,64349.55,59101.94999999999
BTCUSDT,short,2021-11-06 07:15:00+00:00,2021-11-06 19:15:00+00:00,60632.92,60906.91,1.0,-0.0058187784565987485,-0.19116665329584215,time,62478.48,56941.79999999999
BTCUSDT,long,2021-11-07 17:45:00+00:00,2021-11-08 05:45:00+00:00,62489.79,65486.47,1.0,0.0458465833264495,1.618804131725984,time,60720.0,66029.37
BTCUSDT,long,2021-11-14 00:15:00+00:00,2021-11-14 12:15:00+00:00,65211.75,64439.56,1.0,-0.013036957277504,-0.4771531192773763,time,63430.01,68775.23
BTCUSDT,long,2021-12-19 03:00:00+00:00,2021-12-19 15:00:00+00:00,47394.15,47249.98,1.0,-0.00394246870534045,-0.1212295889749567,time,45852.86,50476.73
BTCUSDT,short,2021-12-23 00:00:00+00:00,2021-12-23 12:00:00+00:00,48382.22,48423.67,1.0,-0.002159701486811459,-0.08587513968773255,time,49599.0,45948.66
BTCUSDT,long,2021-12-24 18:45:00+00:00,2021-12-25 06:45:00+00:00,51582.1,50947.07,1.0,-0.013468975167691764,-0.5775932360621808,time,50379.25,53987.799999999996
BTCUSDT,long,2022-01-15 20:00:00+00:00,2022-01-16 08:00:00+00:00,43651.72,43193.51,1.0,-0.011695595697841087,-0.4553937886996137,time,42530.64,45893.880000000005
BTCUSDT,short,2022-01-16 13:15:00+00:00,2022-01-17 01:15:00+00:00,42595.61,42884.65,1.0,-0.008069465748150616,-0.28539245254160367,time,43800.0,40186.83
BTCUSDT,short,2022-01-17 16:00:00+00:00,2022-01-18 04:00:00+00:00,42215.14,42025.91,1.0,0.003135137700929637,0.10591665690119223,time,43464.71,39716.0
