age,at_risk,hits,hazard,hazard_control,hazard_delta,symbol,outcome
72,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
73,20,0,0.0,0.0014044943820224719,-0.0014044943820224719,BTCUSDT,secondary_shock
74,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
75,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
76,20,0,0.0,0.0014064697609001407,-0.0014064697609001407,BTCUSDT,secondary_shock
77,20,0,0.0,0.0014084507042253522,-0.0014084507042253522,BTCUSDT,secondary_shock
78,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
79,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
80,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
81,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
82,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
83,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
84,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
85,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
86,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
87,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
88,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
89,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
90,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
91,20,0,0.0,0.0014104372355430183,-0.0014104372355430183,BTCUSDT,secondary_shock
92,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
93,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
94,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
95,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
96,20,0,0.0,0.0,0.0,BTCUSDT,secondary_shock
1,147,94,0.6394557823129252,0.013605442176870748,0.6258503401360545,BTCUSDT,range_expansion
2,53,4,0.07547169811320754,0.01793103448275862,0.05754066363044892,BTCUSDT,range_expansion
3,49,3,0.061224489795918366,0.014044943820224719,0.04717954597569365,BTCUSDT,range_expansion
4,46,2,0.043478260869565216,0.01282051282051282,0.030657748049052396,BTCUSDT,range_expansion
5,44,2,0.045454545454545456,0.017316017316017316,0.02813852813852814,BTCUSDT,range_expansion
6,42,0,0.0,0.016152716593245228,-0.016152716593245228,BTCUSDT,range_expansion
7,42,1,0.023809523809523808,0.008955223880597015,0.014854299928926793,BTCUSDT,range_expansion
8,41,0,0.0,0.012048192771084338,-0.012048192771084338,BTCUSDT,range_expansion
9,41,4,0.0975609756097561,0.019817073170731708,0.07774390243902439,BTCUSDT,range_expansion
10,37,1,0.02702702702702703,0.02021772939346812,0.006809297633558909,BTCUSDT,range_expansion
11,36,2,0.05555555555555555,0.01746031746031746,0.03809523809523809,BTCUSDT,range_expansion
12,34,1,0.029411764705882353,0.01938610662358643,0.010025658082295923,BTCUSDT,range_expansion
13,33,0,0.0,0.016474464579901153,-0.016474464579901153,BTCUSDT,range_expansion
14,33,2,0.06060606060606061,0.018425460636515914,0.042180599969544694,BTCUSDT,range_expansion
15,31,1,0.03225806451612903,0.023890784982935155,0.008367279533193876,BTCUSDT,range_expansion
16,30,0,0.0,0.012237762237762238,-0.012237762237762238,BTCUSDT,range_expansion
17,30,0,0.0,0.012389380530973451,-0.012389380530973451,BTCUSDT,range_expansion
18,30,1,0.03333333333333333,0.012544802867383513,0.02078853046594982,BTCUSDT,range_expansion
19,29,1,0.034482758620689655,0.016333938294010888,0.018148820326678767,BTCUSDT,range_expansion
20,28,1,0.03571428571428571,0.014760147601476014,0.020954138112809696,BTCUSDT,range_expansion
21,27,1,0.037037037037037035,0.016853932584269662,0.020183104452767373,BTCUSDT,range_expansion
22,26,2,0.07692307692307693,0.013333333333333334,0.06358974358974359,BTCUSDT,range_expansion
23,24,0,0.0,0.003861003861003861,-0.003861003861003861,BTCUSDT,range_expansion
24,24,0,0.0,0.01744186046511628,-0.01744186046511628,BTCUSDT,range_expansion
25,24,1,0.041666666666666664,0.007889546351084813,0.03377712031558185,BTCUSDT,range_expansion
26,23,0,0.0,0.02186878727634195,-0.02186878727634195,BTCUSDT,range_expansion
27,23,0,0.0,0.012195121951219513,-0.012195121951219513,BTCUSDT,range_expansion
28,23,0,0.0,0.01646090534979424,-0.01646090534979424,BTCUSDT,range_expansion
29,23,1,0.043478260869565216,0.0041841004184100415,0.03929416045115518,BTCUSDT,range_expansion
30,22,0,0.0,0.014705882352941176,-0.014705882352941176,BTCUSDT,range_expansion
31,22,1,0.045454545454545456,0.01279317697228145,0.032661368482264,BTCUSDT,range_expansion
32,21,0,0.0,0.017278617710583154,-0.017278617710583154,BTCUSDT,range_expansion
33,21,0,0.0,0.008791208791208791,-0.008791208791208791,BTCUSDT,range_expansion
34,21,0,0.0,0.017738359201773836,-0.017738359201773836,BTCUSDT,range_expansion
35,21,0,0.0,0.020316027088036117,-0.020316027088036117,BTCUSDT,range_expansion
36,21,0,0.0,0.018433179723502304,-0.018433179723502304,BTCUSDT,range_expansion
37,21,0,0.0,0.018779342723004695,-0.018779342723004695,BTCUSDT,range_expansion
38,21,0,0.0,0.019138755980861243,-0.019138755980861243,BTCUSDT,range_expansion
