symbol,year,n,sign_tail_prob,sign_vol
BTCUSDT,2020,20,1.0,1.0
BTCUSDT,2021,44,1.0,1.0
BTCUSDT,2022,51,1.0,1.0
BTCUSDT,2023,39,1.0,1.0
BTCUSDT,2024,40,1.0,1.0
BTCUSDT,2025,17,1.0,1.0
