event_id,symbol,anchor_hour,start_idx,end_idx,activity_metric,activity_rank,rv_rank,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
law_BTCUSDT_000576,BTCUSDT,0,13152,13248,0.001603851697757194,0.20053763440860214,0.19878114357411722,0.002206709082793403,0.03171330447717753,0.020618556701030927,1,16.0
law_BTCUSDT_000896,BTCUSDT,8,65696,65792,0.0016309724241374422,0.20053763440860214,0.20397920774332318,0.0013240719093295537,0.018624223371865676,0.010309278350515464,1,28.0
law_BTCUSDT_001216,BTCUSDT,16,155104,155200,0.001608851220007764,0.20010758472296933,0.2002150923104499,0.0014200165616967372,0.03119311540573517,0.010309278350515464,1,41.0
law_BTCUSDT_001344,BTCUSDT,0,13152,13248,0.001603851697757194,0.20053763440860214,0.19878114357411722,0.002206709082793403,0.03171330447717753,0.020618556701030927,1,16.0
law_BTCUSDT_001600,BTCUSDT,16,155104,155200,0.001608851220007764,0.20010758472296933,0.2002150923104499,0.0014200165616967372,0.03119311540573517,0.010309278350515464,1,41.0
law_BTCUSDT_001728,BTCUSDT,0,13152,13248,0.001603851697757194,0.20053763440860214,0.19878114357411722,0.002206709082793403,0.03171330447717753,0.020618556701030927,1,16.0
law_BTCUSDT_001856,BTCUSDT,8,65696,65792,0.0016309724241374422,0.20053763440860214,0.20397920774332318,0.0013240719093295537,0.018624223371865676,0.010309278350515464,1,28.0
law_BTCUSDT_001984,BTCUSDT,16,155104,155200,0.001608851220007764,0.20010758472296933,0.2002150923104499,0.0014200165616967372,0.03119311540573517,0.010309278350515464,1,41.0
law_BTCUSDT_002112,BTCUSDT,0,13152,13248,0.001603851697757194,0.20053763440860214,0.19878114357411722,0.002206709082793403,0.03171330447717753,0.020618556701030927,1,16.0
law_BTCUSDT_002240,BTCUSDT,8,65696,65792,0.0016309724241374422,0.20053763440860214,0.20397920774332318,0.0013240719093295537,0.018624223371865676,0.010309278350515464,1,28.0
