event_type,event_id,symbol,anchor_ts,anchor_hour,start_idx,end_idx,year,activity_metric,activity_rank,rv_rank,tail_threshold,realized_vol_mean,range_expansion,tail_move_probability,tail_move_within,time_to_tail_move
liquidity_absence_window,law_BTCUSDT_000576,BTCUSDT,2020-06-07 00:00:00+00:00,0,576,672,2020,0.0015469357324073142,0.18387096774193548,0.17978132281770925,0.006437378808274004,0.0016864463464334645,0.046662568457542505,0.030927835051546393,1,49.0
liquidity_absence_window,law_BTCUSDT_000896,BTCUSDT,2020-06-10 08:00:00+00:00,8,896,992,2020,0.0013877336684273514,0.128494623655914,0.13210252733464778,0.006437378808274004,0.0017777008393960966,0.0343746630866144,0.030927835051546393,1,42.0
liquidity_absence_window,law_BTCUSDT_001216,BTCUSDT,2020-06-13 16:00:00+00:00,16,1216,1312,2020,0.0015433650725647735,0.1769768692845616,0.17888510485750134,0.006437378808274004,0.0013927373919551005,0.02044393763723091,0.010309278350515464,1,15.0
liquidity_absence_window,law_BTCUSDT_001344,BTCUSDT,2020-06-15 00:00:00+00:00,0,1344,1440,2020,0.001569686536765517,0.19032258064516128,0.1874887972754974,0.006437378808274004,0.0026141817705485557,0.06460587094054948,0.061855670103092786,1,23.0
liquidity_absence_window,law_BTCUSDT_001600,BTCUSDT,2020-06-17 16:00:00+00:00,16,1600,1696,2020,0.0013767630688082744,0.12748789671866595,0.1295931170460656,0.006437378808274004,0.0016257122300175335,0.026881045896180143,0.010309278350515464,1,15.0
liquidity_absence_window,law_BTCUSDT_001728,BTCUSDT,2020-06-19 00:00:00+00:00,0,1728,1824,2020,0.0013012221443613873,0.12043010752688173,0.11381968094640617,0.006437378808274004,0.0016645690557665733,0.02284360138983033,0.0,0,
liquidity_absence_window,law_BTCUSDT_001856,BTCUSDT,2020-06-20 08:00:00+00:00,8,1856,1952,2020,0.0015580510532019964,0.1817204301075269,0.18390392543466572,0.006437378808274004,0.0012402740096425042,0.027484166507982032,0.0,0,
liquidity_absence_window,law_BTCUSDT_001984,BTCUSDT,2020-06-21 16:00:00+00:00,16,1984,2080,2020,0.0010224059073495964,0.055406132329209254,0.05682021867718229,0.006437378808274004,0.0010185130061311414,0.027690815103226164,0.0,0,
liquidity_absence_window,law_BTCUSDT_002112,BTCUSDT,2020-06-23 00:00:00+00:00,0,2112,2208,2020,0.0014552075596539914,0.15483870967741936,0.1493099121706399,0.006437378808274004,0.0014759996723749328,0.01423583934088564,0.0,0,
liquidity_absence_window,law_BTCUSDT_002240,BTCUSDT,2020-06-24 08:00:00+00:00,8,2240,2336,2020,0.001471500004256832,0.14946236559139786,0.1539702455637211,0.006437378808274004,0.002336181969876442,0.05767400465931994,0.041237113402061855,1,10.0
liquidity_absence_window,law_BTCUSDT_002560,BTCUSDT,2020-06-27 16:00:00+00:00,16,2560,2656,2020,0.0013800900573575242,0.12802582033351265,0.13013084782219037,0.006437378808274004,0.0022383943312745927,0.040860758936916576,0.05154639175257732,1,14.0
liquidity_absence_window,law_BTCUSDT_002784,BTCUSDT,2020-06-30 00:00:00+00:00,0,2784,2880,2020,0.0015268122411577936,0.17419354838709677,0.17297006632012907,0.006437378808274004,0.00151296533632029,0.01534990334883242,0.0,0,
liquidity_absence_window,law_BTCUSDT_002912,BTCUSDT,2020-07-01 08:00:00+00:00,8,2912,3008,2020,0.0013371953888890863,0.11720430107526882,0.12098942462806955,0.006437378808274004,0.0013286858552872395,0.01726775956284153,0.010309278350515464,1,22.0
liquidity_absence_window,law_BTCUSDT_003136,BTCUSDT,2020-07-03 16:00:00+00:00,16,3136,3232,2020,0.0013888045708190012,0.13232920925228617,0.13281950170281412,0.006437378808274004,0.0008889925042965039,0.007906640150138311,0.0,0,
liquidity_absence_window,law_BTCUSDT_003264,BTCUSDT,2020-07-05 00:00:00+00:00,0,3264,3360,2020,0.0011141856746498412,0.07903225806451612,0.0740276035131744,0.006437378808274004,0.0011904008464830962,0.026958204114149186,0.010309278350515464,1,86.0
liquidity_absence_window,law_BTCUSDT_003392,BTCUSDT,2020-07-06 08:00:00+00:00,8,3392,3488,2020,0.0014796731634376793,0.15591397849462366,0.15827209177271911,0.006437378808274004,0.0015155902238653256,0.022724282690076668,0.0,0,
liquidity_absence_window,law_BTCUSDT_003520,BTCUSDT,2020-07-07 16:00:00+00:00,16,3520,3616,2020,0.001311816939621252,0.11403980634749865,0.11650833482702994,0.006437378808274004,0.0012067231157468496,0.028978178763998837,0.010309278350515464,1,87.0
liquidity_absence_window,law_BTCUSDT_003648,BTCUSDT,2020-07-09 00:00:00+00:00,0,3648,3744,2020,0.0015289290011631712,0.17473118279569894,0.17368704068829538,0.006437378808274004,0.0015057212014128864,0.029353154073270302,0.0,0,
liquidity_absence_window,law_BTCUSDT_003776,BTCUSDT,2020-07-10 08:00:00+00:00,8,3776,3872,2020,0.001558714027381724,0.18225806451612903,0.1840831690267073,0.006437378808274004,0.0012512180107418548,0.01801990433877941,0.0,0,
liquidity_absence_window,law_BTCUSDT_003904,BTCUSDT,2020-07-11 16:00:00+00:00,16,3904,4000,2020,0.0010373691698967646,0.05809575040344271,0.05915038537372289,0.006437378808274004,0.000981042384001399,0.018267690975979217,0.0,0,
liquidity_absence_window,law_BTCUSDT_004032,BTCUSDT,2020-07-13 00:00:00+00:00,0,4032,4128,2020,0.001258584051145995,0.11182795698924732,0.10360279620003585,0.006437378808274004,0.0012369302913130239,0.01560697125734066,0.0,0,
